"id";"date_instantiated";"street_address";"address_locality";"address_region";"postal_code";"year_closed";"year_demolished";"capacity";"name"
5269;"2020-10-14 04:36:30";"932 Broadway (21st St.)";"New York";"NY";"";0;1882;0;"New Park Theatre"
5271;"2020-10-14 04:36:30";"1530 Broadway at 45th St.";"New York";"NY";"";0;0;526;"Criterion Center Stage Right"
5290;"2020-10-14 04:36:30";"22 Brookside Drive";"Milburn";"NJ";"07041";0;0;1200;"Paper Mill Playhouse"
5292;"2020-10-14 04:36:30";"2700 F Street, NW";"Washington";"DC";"20566";0;0;0;"Kennedy Center [Eisenhower Theatre]"
5300;"2020-10-14 04:36:30";"1396 Broadway and 39th St.";"New York";"NY";"";0;1930;1500;"Knickerbocker Theatre"
5301;"2020-10-14 04:36:30";"137 W. 48th St.";"New York";"NY";"";0;1969;900;"Playhouse Theatre"
5307;"2020-10-14 04:36:30";"38 Commerce St. (Bedford & Hudson Street)";"New York";"NY";"";0;0;178;"Cherry Lane Theatre"
5310;"2020-10-14 04:36:30";"PO Box A, 6 Main Street";"East Haddam";"CT";"06423";0;0;398;"Goodspeed Opera House"
5313;"2020-10-14 04:36:30";"La Jolla Village Drive & Torrey Pines Road";"La Jolla, CA";"";"";0;0;0;"La Jolla Playhouse"
5317;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"Eagle Theatre"
5320;"2020-10-14 04:36:30";"South side of 24th Street West of Broadway (between 5th & Madison)";"New York";"NY";"";0;1908;688;"Madison Square Theatre"
5329;"2020-10-14 04:36:30";"1514-16 Broadway (44th St.) - Roof";"New York";"NY";"";0;1935;0;"Jardin de Paris"
5331;"2020-10-14 04:36:30";"1514-16 Broadway (44th St.)";"New York";"NY";"";0;1935;0;"New York Theatre"
5334;"2020-10-14 04:36:30";"222 West 45th St.";"New York";"NY";"";0;0;766;"Booth Theatre (Broadway)"
5339;"2020-10-14 04:36:30";"E. 14th St. and Irving Place";"New York";"NY";"";0;1926;1279;"Academy of Music"
5346;"2020-10-14 04:36:30";"Cranbourn Street, Leicester Square";"London";"";"";0;0;600;"Daly's Theatre"
5355;"2020-10-14 04:36:30";"29 Shaftesbury Avenue";"London";"";"";0;0;775;"Apollo Theatre"
5359;"2020-10-14 04:36:30";"13-08 5th Avenue";"Seattle, WA";"";"";0;0;2115;"Fifth Avenue Theatre"
5369;"2020-10-14 04:36:30";"7th Ave. S. near Christopher";"New York";"NY";"";0;0;0;"Greenwich Village Theatre"
5370;"2020-10-14 04:36:30";"Wood Green Ð Leicester Square";"London";"";"";0;1927;0;"Empire Theatre"
5372;"2020-10-14 04:36:30";"6th Avenue between 43rd and 44th Streets";"New York";"NY";"";0;1939;5200;"Hippodrome Theatre"
5387;"2020-10-14 04:36:30";"40 W. 4th St.";"New York";"NY";"";0;0;0;"ANTA Washington Square Theatre"
5443;"2020-10-14 04:36:30";"East end of Strand";"London";"";"";0;1957;1267;"Gaiety Theatre"
5445;"2020-10-14 04:36:30";"";"Washington";"DC";"";0;0;514;"Kreeger Theatre"
