id,street_address,address_locality,address_region,postal_code,year_closed,year_demolished,capacity,name
7220,247 W. 48th St.,New York,NY,NULL,1956,1988,300,President Theatre
7227,247 W. 48th St.,New York,NY,NULL,1956,1988,300,Artef Theatre
7230,236 W. 42nd St.,New York,NY,NULL,1942,NULL,900,Eltinge 42nd Street Theatre
7233,1430 Broadway (40th & 41st),New York,NY,NULL,NULL,1953,1100,Empire Theatre
7237,210 W. 46th St.,New York,NY,NULL,NULL,1982,895,Folies-Bergere
7238,210 W. 46th St.,New York,NY,NULL,NULL,1982,895,Fulton Theatre
7245,1547 Broadway at W. 46th St.,New York,NY,NULL,1943,1982,790,Gaiety Theatre
7258,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Gansevoort Theatre
7266,"7th Ave. South, near Christopher",New York,NY,NULL,NULL,NULL,425,Irish Theatre
7274,1697 Broadway at W. 53rd St.,New York,NY,NULL,NULL,NULL,1205,Hammerstein's Theatre
7283,125th Street between 7th and 8th,New York,NY,NULL,NULL,NULL,NULL,Harlem Opera House
7288,124 W. 43rd St.,New York,NY,NULL,2004,NULL,635,Xenon
7289,124 W. 43rd St.,New York,NY,NULL,2004,NULL,635,Kit Kat Klub
7292,1331 Broadway (29 W. 35th St.),New York,NY,NULL,1914,1915,1150,Herald Square Theatre
7293,1655 Broadway & 237 W. 51st St,New York,NY,NULL,1989,NULL,1505,Hollywood Theatre
7295,1655 Broadway & 237 W. 51st St,New York,NY,NULL,1989,NULL,1505,51st Street Theatre
7306,202 W. 58th St.,New York,NY,NULL,NULL,1985,825,Cort's 58th Street Theatre
7309,202 W. 58th St.,New York,NY,NULL,NULL,1985,825,Concert Theatre
7316,932 Seventh Ave. at W. 58th St.,New York,NY,NULL,1954,1962,1700,Jolson's 59th Street Theatre
7317,932 Seventh Ave. at W. 58th St.,New York,NY,NULL,1954,1962,1700,Central Park Theatre
7318,932 Seventh Ave. at W. 58th St.,New York,NY,NULL,1954,1962,1700,Shakespeare Theatre
7319,932 Seventh Ave. at W. 58th St.,New York,NY,NULL,1954,1962,1700,Venice Theatre
7321,932 Seventh Ave. at W. 58th St.,New York,NY,NULL,1954,1962,1700,Molly Picon Theatre
7324,251 W. 45th St.,New York,NY,NULL,1934,1954,805,Klaw Theatre
7325,251 W. 45th St.,New York,NY,NULL,1934,1954,805,Avon Theatre
7327,132nd St. and 7th Ave.,New York,NY,NULL,NULL,NULL,NULL,Lafayette Theatre
7333,200 W. 48th St.,New York,NY,NULL,NULL,NULL,499,22 Steps
7334,200 W. 48th St.,New York,NY,NULL,NULL,NULL,499,Princess Theatre
7337,622 Broadway,New York,NY,NULL,1880,1880,NULL,Olympic Theatre
7338,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Lenox Hill Theatre
7339,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Lenox Little Theatre
7340,254 W. 42nd St.,New York,NY,NULL,1930,1997,880,Lew M. Fields Theatre
7341,254 W. 42nd St.,New York,NY,NULL,1930,1997,880,Hackett Theatre
7342,254 W. 42nd St.,New York,NY,NULL,1930,1997,880,Harris Theatre
7343,254 W. 42nd St.,New York,NY,NULL,1930,1997,880,Frazee Theatre
7344,254 W. 42nd St.,New York,NY,NULL,1930,1997,880,Wallack's Theatre
7358,214 W. 42nd St.,New York,NY,NULL,1934,1996,1938,Lyric Theatre (Broadway)
7363,24th St. (5th and Madison),New York,NY,NULL,NULL,1908,NULL,Hoyt's Theatre
7366,5 Columbus Circle (W. 58th & 59th),New York,NY,NULL,NULL,NULL,1355,Park Theatre
7368,5 Columbus Circle (W. 58th & 59th),New York,NY,NULL,NULL,NULL,1355,Cosmopolitan Theatre
7369,5 Columbus Circle (W. 58th & 59th),New York,NY,NULL,NULL,NULL,1355,Theatre of Young America
7371,5 Columbus Circle (W. 58th & 59th),New York,NY,NULL,NULL,NULL,1355,International Theatre
7372,5 Columbus Circle (W. 58th & 59th),New York,NY,NULL,NULL,NULL,1355,Columbus Circle
7375,311 West 34th St.,New York,NY,NULL,1940,NULL,3100,Manhattan Opera House
7390,235 W. 46th St.,New York,NY,NULL,NULL,NULL,NULL,Mayfair Theatre
7391,40th St. near Broadway,New York,NY,NULL,NULL,NULL,NULL,Mendelssohn Hall
7392,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Miner's Fifth Avenue Theatre
7393,200 W. 45th St.,New York,NY,10036,NULL,NULL,1710,Minskoff Theatre
7396,Lexington Ave. near E.42nd St.,New York,NY,NULL,NULL,NULL,NULL,Murray Hill Theatre
7402,119 W. 39th St.,New York,NY,NULL,1926,1926,700,Nazimova's 39th Street Theatre
7404,466 Grand St.,New York,NY,NULL,NULL,1927,NULL,Neighborhood Playhouse
7405,Central Park West at W. 62nd St.,New York,NY,NULL,NULL,1930,2320,New Theatre
7409,Nassau St.,New York,NY,NULL,1754,1758,NULL,New Theatre
7414,537 Broadway,New York,NY,NULL,NULL,1895,NULL,Niblo's Garden
7415,125 W. 48th St.,New York,NY,NULL,1937,1951,500,Norworth Theatre
7419,4th Avenue (23rd & 24th),New York,NY,NULL,NULL,1902,NULL,Lyceum Theatre
7420,444 Broadway,New York,NY,NULL,1852,1854,NULL,Olympic Theatre
7422,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Palm Garden Theatre
7424,Broadway at 30th St.,New York,NY,NULL,NULL,1915,NULL,Palmer's Theatre
7429,104 W. 39th St.,New York,NY,NULL,1926,1955,300,Princess Theatre
7431,104 W. 39th St.,New York,NY,NULL,1926,1955,300,Lucille La Verne Theatre
7433,104 W. 39th St.,New York,NY,NULL,1926,1955,300,Assembly Theatre
7435,104 W. 39th St.,New York,NY,NULL,1926,1955,300,Labor Stage Theatre
7439,133 MacDougal St.,New York,NY,NULL,NULL,NULL,NULL,Provincetown Playhouse
7440,155 W. 49th St.,New York,NY,NULL,1933,1987,300,Punch and Judy Theatre
7441,155 W. 49th St.,New York,NY,NULL,1933,1987,300,Charles Hopkins Theatre
7445,1260 6th Ave.,New York,NY,NULL,NULL,NULL,5880,Radio City Music Hall
7446,207 W. 42nd,New York,NY,NULL,NULL,NULL,1100,Theatre Republic
7447,207 W. 42nd,New York,NY,NULL,NULL,NULL,1100,The Old Belasco Theatre
7452,Varick St.,New York,NY,NULL,NULL,1849,NULL,Richmond Hill Theatre
7465,Convent Ave. at 138th St.,New York,NY,NULL,NULL,1973,NULL,Lewisohn Stadium of City College of New York
7467,102 W. 33rd St.,New York,NY,NULL,1907,1909,1100,Standard Theatre
7468,102 W. 33rd St.,New York,NY,NULL,1907,1909,1100,Manhattan Theatre
7471,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Sutton Show Shop
7473,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Triangle Theatre
7474,58 E. 14th St.,New York,NY,NULL,1936,NULL,NULL,Union Square Theatre
7479,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Vaudeville Theatre
7480,201 West 42nd Street,New York,NY,NULL,1915,1935,950,Victoria Theatre
7482,150 West 65th St. at Broadway,New York,NY,10023,NULL,NULL,1080,Vivian Beaumont Theatre
7483,116 W. 50th St.,New York,NY,NULL,1933,1968,1050,Waldorf Theatre
7487,216 W. 44th St.,New York,NY,NULL,1945,1945,1465,Weber and Fields' Music Hall
7488,216 W. 44th St.,New York,NY,NULL,1945,1945,1465,44th Street Theatre
7489,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Willis Theatre
7493,"6th Avenue at W. 54th St., Roof",New York,NY,NULL,1965,1966,1660,Ziegfeld Theatre
7494,1514-16 Broadway (44th St.),New York,NY,NULL,1915,1935,2800,Olympia Theatre: Music Hall
7496,1514-16 Broadway (44th St.),New York,NY,NULL,1915,1935,2800,Moulin Rouge
7506,"1514-16 Broadway (44th St.), Roof",New York,NY,NULL,NULL,1935,NULL,New York Roof
7512,1887 Broadway at 62nd St.,New York,NY,NULL,NULL,1977,1265,New Colonial Theatre
7513,1887 Broadway at 62nd St.,New York,NY,NULL,NULL,1977,1265,Hampden's Theatre
7518,31 W. 28th St. (Broadway),New York,NY,NULL,NULL,1939,1530,New Fifth Avenue Theatre
7519,31 W. 28th St. (Broadway),New York,NY,NULL,NULL,1939,1530,Fifth Avenue Theatre
7523,67 W. 35th St.,New York,NY,NULL,1929,1932,910,Harrigan's Theatre
7524,67 W. 35th St.,New York,NY,NULL,1929,1932,910,Garrick Theatre
7525,67 W. 35th St.,New York,NY,NULL,1929,1932,910,Theatre du Vieux Columbier
7528,112 W. 34th St.,New York,NY,NULL,1933,1952,840,Savoy Theatre
7537,326 Broadway,New York,NY,NULL,NULL,1859,4500,Broadway Theatre
7543,624 Broadway,New York,NY,NULL,NULL,1867,NULL,Old Winter Garden Theatre
7544,485 Broadway,New York,NY,NULL,NULL,1869,NULL,Brougham's Lyceum Theatre
7545,485 Broadway,New York,NY,NULL,NULL,1869,NULL,Wallack's Lyceum Theatre
7546,485 Broadway,New York,NY,NULL,NULL,1869,NULL,Broadway Theatre
7547,23rd St. (8th Ave.),New York,NY,NULL,NULL,1960,NULL,Pike's Opera House
7550,720 Broadway,New York,NY,NULL,NULL,NULL,NULL,Waverley Theatre
7553,Leonard & Church Sts.,New York,NY,NULL,NULL,1841,NULL,National Theatre
7555,23 Park Row,New York,NY,NULL,NULL,1848,NULL,Park Theatre
7556,844 Broadway,New York,NY,NULL,NULL,1901,NULL,Wallack's Theatre
7557,844 Broadway,New York,NY,NULL,NULL,1901,NULL,Star Theatre
7559,1221 Broadway (30th St.),New York,NY,NULL,NULL,1920,NULL,Wood's Museum and Metropolitan
7560,1221 Broadway (30th St.),New York,NY,NULL,NULL,1920,NULL,Broadway Theatre
7561,1221 Broadway (30th St.),New York,NY,NULL,NULL,1920,NULL,Daly's Theatre
7563,Broadway at 39th St.,New York,NY,NULL,NULL,1966,NULL,New Opera House
7566,18th St. (5th Ave.),New York,NY,NULL,NULL,NULL,NULL,Chickering Hall
7571,Canal St.,New York,NY,NULL,1838,NULL,NULL,Broadway Theatre
7580,199 Bowery,New York,NY,NULL,NULL,NULL,NULL,People's Theatre
7584,29th St. (Broadway),New York,NY,NULL,NULL,1907,NULL,San Francisco Music Hall
7586,29th St. (Broadway),New York,NY,NULL,NULL,1907,NULL,Princess Theatre
7599,Bedlow Street (later Madison St.),New York,NY,NULL,NULL,NULL,NULL,Grove Theatre
7607,Chatham Street,New York,NY,NULL,1832,NULL,NULL,Chatham Gardens Theatre
7610,Broadway,New York,NY,NULL,NULL,NULL,NULL,African Grove
7620,Chatham Street (Roosevelt & James),New York,NY,NULL,NULL,NULL,NULL,Purdy's New National
7624,Broadway,New York,NY,NULL,1853,NULL,NULL,Astor Place Opera House
7635,514 Broadway (Spring & Broome),New York,NY,NULL,NULL,NULL,NULL,Theatre Comique
7636,514 Broadway (Spring & Broome),New York,NY,NULL,NULL,NULL,NULL,Wood's Minstrel Hall
7648,720 Broadway,New York,NY,NULL,NULL,NULL,NULL,Hope Chapel
7649,720 Broadway,New York,NY,NULL,NULL,NULL,NULL,Kelly and Leon's
7651,728 Broadway (Waverly),New York,NY,NULL,NULL,1884,NULL,Lucy Rushton's New York Theatre
7652,728 Broadway (Waverly),New York,NY,NULL,NULL,1884,NULL,New York Theatre
7653,728 Broadway (Waverly),New York,NY,NULL,NULL,1884,NULL,Worrell Sisters' New York Theatre
7659,932 Broadway (21st St),New York,NY,NULL,1882,1882,NULL,Abbey's Park Theatre
7661,23rd Street (6th Ave.),New York,NY,NULL,NULL,1924,NULL,Koster and Bial's Music Hall
7664,141 West 23rd St. (6th & 7th Ave),New York,NY,NULL,NULL,NULL,NULL,Proctor's Theatre
7671,20 Lincoln Center,New York,NY,NULL,NULL,NULL,NULL,New York State Theatre
7698,513 13th Street NW,Washington,DC,20004,NULL,NULL,NULL,Warner Theatre
7738,The American Tobacco District 123 Vivian Street,Durham,NC,27701,NULL,NULL,NULL,Durham Performing Arts Center
7812,126 Second Avenue,New York,NY,10003,NULL,NULL,347,Orpheum Theatre
7900,359 West 48th St.,New York,NY,10019,NULL,NULL,NULL,Playhouse Theatre
7980,189 Second Avenue,New York,NY,10009,NULL,NULL,1100,Phoenix Theatre
8051,124 W. 43rd St.,New York,NY,10036,NULL,NULL,1055,Stephen Sondheim Theatre
8150,213 W. 42nd St.,New York,NY,10036,NULL,NULL,1829,Foxwoods Theatre
8280,417 W. Magnolia,Fort Collins,CO,80521,NULL,NULL,NULL,Lincoln Center
