id,street_address,address_locality,address_region,postal_code,year_closed,year_demolished,capacity,name
5339,E. 14th St. and Irving Place,New York,NY,NULL,NULL,1926,1279,Academy of Music
5346,"Cranbourn Street, Leicester Square",London,NULL,NULL,NULL,NULL,600,Daly's Theatre
5355,29 Shaftesbury Avenue,London,NULL,NULL,NULL,NULL,775,Apollo Theatre
5359,13-08 5th Avenue,"Seattle, WA",NULL,NULL,NULL,NULL,2115,Fifth Avenue Theatre
5369,7th Ave. S. near Christopher,New York,NY,NULL,NULL,NULL,NULL,Greenwich Village Theatre
5370,Wood Green Ð Leicester Square,London,NULL,NULL,NULL,1927,NULL,Empire Theatre
5372,6th Avenue between 43rd and 44th Streets,New York,NY,NULL,NULL,1939,5200,Hippodrome Theatre
5387,40 W. 4th St.,New York,NY,NULL,NULL,NULL,NULL,ANTA Washington Square Theatre
5443,East end of Strand,London,NULL,NULL,NULL,1957,1267,Gaiety Theatre
5445,NULL,Washington,DC,NULL,NULL,NULL,514,Kreeger Theatre
5449,119 West 39th St.,New York,NY,NULL,NULL,1926,NULL,39th Street Theatre
5476,1363 Old Globe Way,San Diego,CA,92101,NULL,NULL,NULL,Old Globe Theatre
5480,445 Geary St,San Francisco,CA,94102,NULL,NULL,1665,Curran Theatre
5488,217 West 45th Street,New York,NY,NULL,NULL,1982,954,Morosco Theatre
5506,"300 King Street West Toronto, ON M5V 1J2, Canada",Toronto,NULL,NULL,NULL,NULL,NULL,Princess of Wales Theatre
5509,NULL,Los Angeles,CA,NULL,NULL,NULL,NULL,Huntington Hartford Theatre
5525,1567 Broadway at 47th Street,New York,NY,NULL,NULL,2000,1100,Central Theatre
5537,219 West 48th St.,New York,NY,NULL,NULL,NULL,945,Walter Kerr Theatre
5542,1887 Broadway at 62nd St.,New York,NY,NULL,NULL,1977,1265,Harkness Theatre
5544,1481 Broadway,New York,NY,NULL,NULL,1998,1960,Rialto Theatre
5548,3011 W Grand Blvd # F1,Detroit,MI,48202,NULL,NULL,2975,Fisher Theatre
5556,NULL,Cohoes,NY,NULL,NULL,NULL,NULL,Cohoes Musical Hall
5557,264 Tremont Street,Boston,MA,NULL,NULL,NULL,1200,Wilbur Theatre
5558,NULL,Los Angeles,CA,NULL,NULL,NULL,3086,Dorothy Chandler Pavillion
5559,2700 F Street,Washington,DC,20566,NULL,NULL,2318,Kennedy Center [Opera House]
5562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New Locust Theatre
5563,NULL,"Oakland, CA",NULL,NULL,NULL,NULL,50000,Oakland Coliseum
5567,106 Boylston St.,Boston,MA,NULL,NULL,NULL,NULL,Colonial Theatre
5568,100 E. 17th Street,New York,NY,NULL,NULL,NULL,499,Union Square Theatre
5573,70 S. Main St.,"New Hope, PA",NULL,NULL,NULL,NULL,NULL,Bucks County Playhouse
5574,NULL,"Owing Mills, MD",NULL,NULL,NULL,NULL,NULL,Painters Mill Music Fair
5575,NULL,"Westbury, NY",NULL,NULL,NULL,NULL,NULL,Westbury Music Fair
5578,NULL,NULL,NULL,NULL,NULL,NULL,NULL,American Shakespeare Theatre
5581,260 King Street West,Toronto,NULL,NULL,NULL,NULL,1500,Royal Alexandra Theatre
5582,NULL,"Phoenix, AZ",NULL,NULL,NULL,NULL,NULL,Palace West Theatre
5585,25 Hopkins Plaza,"Baltimore, MD",NULL,NULL,NULL,NULL,1600,Mechanic Theatre
5586,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Blackstone Theatre
5609,NULL,"St. Louis, MO",NULL,NULL,NULL,NULL,12000,St. Louis Municipal Theatre
5622,109 West 39th Street,New York,NY,NULL,NULL,1960,900,Maxine Elliott's Theatre
5624,125 W. 48th St.,New York,NY,NULL,NULL,1951,500,Belmont Theatre
5637,485 Broadway,New York,NY,NULL,NULL,1869,NULL,Olympic Theatre
5640,64-6 Nassau Street,New York,NY,NULL,NULL,NULL,NULL,Nassau Street Theatre
5641,15-21 John Street,New York,NY,NULL,NULL,1798,NULL,John Street Theatre
5649,46-8 Bowery,New York,NY,NULL,NULL,NULL,NULL,Bowery Theatre
5651,444 Broadway,New York,NY,NULL,NULL,1866,NULL,American Theatre
