year,season,season_link,winner,actress,musical,character,actress_link,musical_link,character_link
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Catherine Cox,"Oh, Coward!",Various Characters,https://en.wikipedia.org/wiki/Catherine_Cox_(actress),"https://en.wikipedia.org/wiki/Oh,_Coward!",
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Teresa Stratas,Rags,Rebecca Hershkowitz,https://en.wikipedia.org/wiki/Teresa_Stratas,https://en.wikipedia.org/wiki/Rags_(musical),
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,Joanna Gleason,Into the Woods,The Baker's Wife,https://en.wikipedia.org/wiki/Joanna_Gleason,https://en.wikipedia.org/wiki/Into_the_Woods,
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Alison Fraser,Romance/Romance,Josefine Weninger / Monica,https://en.wikipedia.org/wiki/Alison_Fraser,https://en.wikipedia.org/wiki/Romance/Romance,
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Judy Kuhn,Chess,Florence Vassy,https://en.wikipedia.org/wiki/Judy_Kuhn,https://en.wikipedia.org/wiki/Chess_(musical),
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Patti LuPone,Anything Goes,Reno Sweeney,https://en.wikipedia.org/wiki/Patti_LuPone,https://en.wikipedia.org/wiki/Anything_Goes,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Linda Hopkins,Black and Blue,Various Characters,https://en.wikipedia.org/wiki/Linda_Hopkins,,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Sharon McNight,Starmites,Diva / Mother,,https://en.wikipedia.org/wiki/Starmites,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,True,Ruth Brown,Black and Blue,Various Characters,https://en.wikipedia.org/wiki/Ruth_Brown,https://en.wikipedia.org/wiki/Black_and_Blue_(musical),
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Charlotte d'Amboise,Jerome Robbins' Broadway,Anita /Peter Pan/ Company,https://en.wikipedia.org/wiki/Charlotte_d%27Amboise,https://en.wikipedia.org/wiki/Jerome_Robbins%27_Broadway,https://en.wikipedia.org/wiki/Peter_Pan
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Beth Fowler,Sweeney Todd: The Demon Barber of Fleet Street,Mrs. Lovett,https://en.wikipedia.org/wiki/Beth_Fowler,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,https://en.wikipedia.org/wiki/Mrs._Lovett
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Liliane Montevecchi,Grand Hotel,Elizaveta Grushinskaya,https://en.wikipedia.org/wiki/Liliane_Montevecchi,https://en.wikipedia.org/wiki/Grand_Hotel_(musical),
1990,44th Tony Awards,/wiki/44th_Tony_Awards,True,Tyne Daly,Gypsy,Rose,https://en.wikipedia.org/wiki/Tyne_Daly,https://en.wikipedia.org/wiki/Gypsy_(musical),https://en.wikipedia.org/wiki/Rose_Thompson_Hovick
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Georgia Brown,The Threepenny Opera,Celia Peachum,https://en.wikipedia.org/wiki/Georgia_Brown_(English_singer),https://en.wikipedia.org/wiki/The_Threepenny_Opera,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,True,Lea Salonga,Miss Saigon,Kim,https://en.wikipedia.org/wiki/Lea_Salonga,https://en.wikipedia.org/wiki/Miss_Saigon,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,June Angela,Shōgun: The Musical,Lady Mariko,https://en.wikipedia.org/wiki/June_Angela,https://en.wikipedia.org/wiki/Sh%C5%8Dgun:_The_Musical,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Dee Hoty,The Will Rogers Follies,Betty Blake,https://en.wikipedia.org/wiki/Dee_Hoty,https://en.wikipedia.org/wiki/The_Will_Rogers_Follies,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Cathy Rigby,Peter Pan,Peter Pan,https://en.wikipedia.org/wiki/Cathy_Rigby,https://en.wikipedia.org/wiki/Peter_Pan_(1954_musical),https://en.wikipedia.org/wiki/Peter_Pan
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,Faith Prince,Guys and Dolls,Miss Adelaide,https://en.wikipedia.org/wiki/Faith_Prince,https://en.wikipedia.org/wiki/Guys_and_Dolls,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Jodi Benson,Crazy for You,Polly Baker,https://en.wikipedia.org/wiki/Jodi_Benson,https://en.wikipedia.org/wiki/Crazy_for_You_(musical),
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Josie de Guzman,Guys and Dolls,Sarah Brown,https://en.wikipedia.org/wiki/Josie_de_Guzman,,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Sophie Hayden,The Most Happy Fella,Rosabella,,https://en.wikipedia.org/wiki/The_Most_Happy_Fella,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,Chita Rivera,Kiss of the Spider Woman,Aurora / Spider Woman,https://en.wikipedia.org/wiki/Chita_Rivera,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(musical),
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Ann Crumb,Anna Karenina,Anna Karenina,https://en.wikipedia.org/wiki/Ann_Crumb,https://en.wikipedia.org/wiki/Anna_Karenina_(musical),
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Stephanie Lawrence,Blood Brothers,Mrs. Johnstone,https://en.wikipedia.org/wiki/Stephanie_Lawrence,https://en.wikipedia.org/wiki/Blood_Brothers_(musical),
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Bernadette Peters,The Goodbye Girl,Paula McFadden,https://en.wikipedia.org/wiki/Bernadette_Peters,https://en.wikipedia.org/wiki/The_Goodbye_Girl_(musical),
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Susan Egan,Beauty and the Beast,Belle,https://en.wikipedia.org/wiki/Susan_Egan,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(musical),https://en.wikipedia.org/wiki/Belle_(Disney_character)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Judy Kuhn,She Loves Me,Amalia Balash,https://en.wikipedia.org/wiki/Judy_Kuhn,https://en.wikipedia.org/wiki/She_Loves_Me,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Dee Hoty,The Best Little Whorehouse Goes Public,Mona Stangley,https://en.wikipedia.org/wiki/Dee_Hoty,https://en.wikipedia.org/wiki/The_Best_Little_Whorehouse_Goes_Public,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,Donna Murphy,Passion,Fosca,https://en.wikipedia.org/wiki/Donna_Murphy,https://en.wikipedia.org/wiki/Passion_(musical),
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,Glenn Close,Sunset Boulevard,Norma Desmond,https://en.wikipedia.org/wiki/Glenn_Close,https://en.wikipedia.org/wiki/Sunset_Boulevard_(musical),
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Rebecca Luker,Show Boat,Magnolia Hawks,https://en.wikipedia.org/wiki/Rebecca_Luker,https://en.wikipedia.org/wiki/Show_Boat,
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,Donna Murphy,The King and I,Anna Leonowens,https://en.wikipedia.org/wiki/Donna_Murphy,https://en.wikipedia.org/wiki/The_King_and_I,https://en.wikipedia.org/wiki/Anna_Leonowens
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Julie Andrews[5],Victor/Victoria,Victoria Grant,https://en.wikipedia.org/wiki/Julie_Andrews,https://en.wikipedia.org/wiki/Victor/Victoria_(musical),
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Crista Moore,Big: the musical,Susan Lawrence,https://en.wikipedia.org/wiki/Crista_Moore,https://en.wikipedia.org/wiki/Big:_the_musical,
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Daphne Rubin-Vega,Rent,Mimi Marquez,https://en.wikipedia.org/wiki/Daphne_Rubin-Vega,https://en.wikipedia.org/wiki/Rent_(musical),
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Karen Ziemba,Steel Pier,Rita Racine,https://en.wikipedia.org/wiki/Karen_Ziemba,https://en.wikipedia.org/wiki/Steel_Pier_(musical),
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Tonya Pinkins,Play On,Lady Liv,https://en.wikipedia.org/wiki/Tonya_Pinkins,,
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,Bebe Neuwirth,Chicago,Velma Kelly,https://en.wikipedia.org/wiki/Bebe_Neuwirth,https://en.wikipedia.org/wiki/Chicago_(musical),https://en.wikipedia.org/wiki/Velma_Kelly
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Pamela Isaacs,The Life,Queen,https://en.wikipedia.org/wiki/Pamela_Isaacs,https://en.wikipedia.org/wiki/The_Life_(musical),
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,Natasha Richardson,Cabaret,Sally Bowles,https://en.wikipedia.org/wiki/Natasha_Richardson,https://en.wikipedia.org/wiki/Cabaret_(musical),https://en.wikipedia.org/wiki/Sally_Bowles
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Betty Buckley,Triumph of Love,Hesione,https://en.wikipedia.org/wiki/Betty_Buckley,https://en.wikipedia.org/wiki/Triumph_of_Love_(musical),
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Marin Mazzie,Ragtime,Mother,https://en.wikipedia.org/wiki/Marin_Mazzie,https://en.wikipedia.org/wiki/Ragtime_(musical),
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Alice Ripley&Emily Skinner,Side Show,Violet and Daisy Hilton,https://en.wikipedia.org/wiki/Alice_Ripley,https://en.wikipedia.org/wiki/Side_Show_(musical),https://en.wikipedia.org/wiki/Daisy_and_Violet_Hilton
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Siân Phillips,Marlene,Marlene Dietrich,https://en.wikipedia.org/wiki/Si%C3%A2n_Phillips,,https://en.wikipedia.org/wiki/Marlene_Dietrich
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Dee Hoty,Footloose,Vi Moore,https://en.wikipedia.org/wiki/Dee_Hoty,https://en.wikipedia.org/wiki/Footloose_(musical),
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Carolee Carmello,Parade,Lucille Frank,https://en.wikipedia.org/wiki/Carolee_Carmello,https://en.wikipedia.org/wiki/Parade_(musical),
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Bernadette Peters,Annie Get Your Gun,Annie Oakley,https://en.wikipedia.org/wiki/Bernadette_Peters,https://en.wikipedia.org/wiki/Annie_Get_Your_Gun_(musical),https://en.wikipedia.org/wiki/Annie_Oakley
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,Heather Headley,Aida,Aida,https://en.wikipedia.org/wiki/Heather_Headley,https://en.wikipedia.org/wiki/Aida_(musical),
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Toni Collette,The Wild Party,Queenie,https://en.wikipedia.org/wiki/Toni_Collette,https://en.wikipedia.org/wiki/The_Wild_Party_(LaChiusa_musical),
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Rebecca Luker,The Music Man,Marian Paroo,https://en.wikipedia.org/wiki/Rebecca_Luker,https://en.wikipedia.org/wiki/The_Music_Man,
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Marin Mazzie,"Kiss Me, Kate",Lilli Vanessi / Katherine,https://en.wikipedia.org/wiki/Marin_Mazzie,"https://en.wikipedia.org/wiki/Kiss_Me,_Kate",
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Audra McDonald,Marie Christine,Marie Christine L'Adrese,https://en.wikipedia.org/wiki/Audra_McDonald,https://en.wikipedia.org/wiki/Marie_Christine,https://en.wikipedia.org/wiki/Marie_Laveau
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Randy Graff,A Class Act,Sophie,https://en.wikipedia.org/wiki/Randy_Graff,https://en.wikipedia.org/wiki/A_Class_Act,
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,Christine Ebersole,42nd Street,Dorothy Brock,https://en.wikipedia.org/wiki/Christine_Ebersole,https://en.wikipedia.org/wiki/42nd_Street_(musical),
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Blythe Danner,Follies,Phyllis Rogers Stone,https://en.wikipedia.org/wiki/Blythe_Danner,https://en.wikipedia.org/wiki/Follies,
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Faith Prince,Bells Are Ringing,Ella Peterson,https://en.wikipedia.org/wiki/Faith_Prince,https://en.wikipedia.org/wiki/Bells_Are_Ringing_(musical),
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Marla Schaffel,Jane Eyre,Jane Eyre,https://en.wikipedia.org/wiki/Marla_Schaffel,https://en.wikipedia.org/wiki/Jane_Eyre_(musical),
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Jennifer Laura Thompson,Urinetown,Hope Cladwell,https://en.wikipedia.org/wiki/Jennifer_Laura_Thompson,https://en.wikipedia.org/wiki/Urinetown,
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Nancy Opel,Urinetown,Penelope Pennywise,https://en.wikipedia.org/wiki/Nancy_Opel,https://en.wikipedia.org/wiki/Urinetown,
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Vanessa Williams,Into the Woods,The Witch,https://en.wikipedia.org/wiki/Vanessa_Williams,https://en.wikipedia.org/wiki/Into_the_Woods,
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,Sutton Foster,Thoroughly Modern Millie,Millie Dillmount,https://en.wikipedia.org/wiki/Sutton_Foster,https://en.wikipedia.org/wiki/Thoroughly_Modern_Millie_(musical),
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Louise Pitre,Mamma Mia!,Donna Sheridan,https://en.wikipedia.org/wiki/Louise_Pitre,https://en.wikipedia.org/wiki/Mamma_Mia!,
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Bernadette Peters,Gypsy,Rose,https://en.wikipedia.org/wiki/Bernadette_Peters,https://en.wikipedia.org/wiki/Gypsy_(musical),https://en.wikipedia.org/wiki/Rose_Thompson_Hovick
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Elizabeth Parkinson,Movin' Out,Brenda,https://en.wikipedia.org/wiki/Elizabeth_Parkinson,https://en.wikipedia.org/wiki/Movin%27_Out_(musical),
2003,57th Tony Awards,/wiki/57th_Tony_Awards,True,Marissa Jaret Winokur,Hairspray,Tracy Turnblad,https://en.wikipedia.org/wiki/Marissa_Jaret_Winokur,https://en.wikipedia.org/wiki/Hairspray_(musical),
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Melissa Errico,Amour,Isabella,https://en.wikipedia.org/wiki/Melissa_Errico,https://en.wikipedia.org/wiki/Amour_(musical),
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Mary Elizabeth Mastrantonio,Man of La Mancha,Aldonza / Dulcinea,https://en.wikipedia.org/wiki/Mary_Elizabeth_Mastrantonio,https://en.wikipedia.org/wiki/Man_of_La_Mancha,
2004,58th Tony Awards,/wiki/58th_Tony_Awards,True,Idina Menzel,Wicked,Elphaba Thropp,https://en.wikipedia.org/wiki/Idina_Menzel,https://en.wikipedia.org/wiki/Wicked_(musical),https://en.wikipedia.org/wiki/Elphaba_Thropp
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Kristin Chenoweth,Wicked,Glinda Upland,https://en.wikipedia.org/wiki/Kristin_Chenoweth,,https://en.wikipedia.org/wiki/Glinda_the_Good_Witch
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Stephanie D'Abruzzo,Avenue Q,Kate Monster / Lucy the Slut / Company,https://en.wikipedia.org/wiki/Stephanie_D%27Abruzzo,https://en.wikipedia.org/wiki/Avenue_Q,
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Donna Murphy,Wonderful Town,Ruth Sherwood,https://en.wikipedia.org/wiki/Donna_Murphy,https://en.wikipedia.org/wiki/Wonderful_Town,
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Tonya Pinkins,"Caroline, or Change",Caroline Thibodeaux,https://en.wikipedia.org/wiki/Tonya_Pinkins,"https://en.wikipedia.org/wiki/Caroline,_or_Change",
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Sutton Foster,Little Women,Josephine 'Jo' March,https://en.wikipedia.org/wiki/Sutton_Foster,https://en.wikipedia.org/wiki/Little_Women_(musical),
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Victoria Clark,The Light in the Piazza,Margaret Johnson,https://en.wikipedia.org/wiki/Victoria_Clark,https://en.wikipedia.org/wiki/The_Light_in_the_Piazza_(musical),
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Christina Applegate,Sweet Charity,Charity Hope Valentine,https://en.wikipedia.org/wiki/Christina_Applegate,https://en.wikipedia.org/wiki/Sweet_Charity,
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Erin Dilly,Chitty Chitty Bang Bang,Truly Scrumptious,https://en.wikipedia.org/wiki/Erin_Dilly,https://en.wikipedia.org/wiki/Chitty_Chitty_Bang_Bang_(musical),https://en.wikipedia.org/wiki/Truly_Scrumptious
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Sherie Rene Scott,Dirty Rotten Scoundrels,Christine Colgate,https://en.wikipedia.org/wiki/Sherie_Rene_Scott,https://en.wikipedia.org/wiki/Dirty_Rotten_Scoundrels_(musical),
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Chita Rivera,Chita Rivera: The Dancer's Life,Chita Rivera,https://en.wikipedia.org/wiki/Chita_Rivera,https://en.wikipedia.org/wiki/Chita_Rivera:_The_Dancer%27s_Life,https://en.wikipedia.org/wiki/Chita_Rivera
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Patti LuPone,Sweeney Todd: The Demon Barber of Fleet Street,Mrs. Lovett,https://en.wikipedia.org/wiki/Patti_LuPone,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,https://en.wikipedia.org/wiki/Mrs._Lovett
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Kelli O'Hara,The Pajama Game,Catherine 'Babe' Williams,https://en.wikipedia.org/wiki/Kelli_O%27Hara,https://en.wikipedia.org/wiki/The_Pajama_Game,
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,LaChanze,The Color Purple,Celie Harris Johnson,https://en.wikipedia.org/wiki/LaChanze,https://en.wikipedia.org/wiki/The_Color_Purple_(musical),
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Sutton Foster,The Drowsy Chaperone,Janet Van De Graaff,https://en.wikipedia.org/wiki/Sutton_Foster,https://en.wikipedia.org/wiki/The_Drowsy_Chaperone,
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,Christine Ebersole,Grey Gardens,'Little Edie' Beale,https://en.wikipedia.org/wiki/Christine_Ebersole,https://en.wikipedia.org/wiki/Grey_Gardens_(musical),https://en.wikipedia.org/wiki/Edith_Bouvier_Beale
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Laura Bell Bundy,Legally Blonde,Elle Woods,https://en.wikipedia.org/wiki/Laura_Bell_Bundy,https://en.wikipedia.org/wiki/Legally_Blonde_(musical),https://en.wikipedia.org/wiki/Elle_Woods
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Audra McDonald,110 in the Shade,Lizzie Curry,https://en.wikipedia.org/wiki/Audra_McDonald,https://en.wikipedia.org/wiki/110_in_the_Shade,
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Debra Monk,Curtains,Carmen Bernstein,https://en.wikipedia.org/wiki/Debra_Monk,https://en.wikipedia.org/wiki/Curtains_(musical),
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Donna Murphy,LoveMusik,Lotte Lenya,https://en.wikipedia.org/wiki/Donna_Murphy,https://en.wikipedia.org/wiki/LoveMusik,https://en.wikipedia.org/wiki/Lotte_Lenya
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Patti LuPone,Gypsy,Rose,https://en.wikipedia.org/wiki/Patti_LuPone,https://en.wikipedia.org/wiki/Gypsy_(musical),https://en.wikipedia.org/wiki/Rose_Thompson_Hovick
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Kerry Butler,Xanadu,Kira /Clio,https://en.wikipedia.org/wiki/Kerry_Butler,https://en.wikipedia.org/wiki/Xanadu_(musical),https://en.wikipedia.org/wiki/Clio
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Kelli O'Hara,South Pacific,Ensign Nellie Forbush,https://en.wikipedia.org/wiki/Kelli_O%27Hara,https://en.wikipedia.org/wiki/South_Pacific_(musical),
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Faith Prince,A Catered Affair,Agnes 'Aggie' Hurley,https://en.wikipedia.org/wiki/Faith_Prince,https://en.wikipedia.org/wiki/A_Catered_Affair,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Jenna Russell,Sunday in the Park with George,Dot / Marie,https://en.wikipedia.org/wiki/Jenna_Russell,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Allison Janney,9 to 5,Violet Newstead,https://en.wikipedia.org/wiki/Allison_Janney,https://en.wikipedia.org/wiki/9_to_5_(musical),
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Sutton Foster,Shrek the Musical,Princess Fiona,https://en.wikipedia.org/wiki/Sutton_Foster,https://en.wikipedia.org/wiki/Shrek_the_Musical,https://en.wikipedia.org/wiki/Princess_Fiona
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Josefina Scaglione,West Side Story,Maria,https://en.wikipedia.org/wiki/Josefina_Scaglione,https://en.wikipedia.org/wiki/West_Side_Story,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Alice Ripley,Next to Normal,Diana Goodman,https://en.wikipedia.org/wiki/Alice_Ripley,https://en.wikipedia.org/wiki/Next_to_Normal,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Stockard Channing,Pal Joey,Vera Simpson,https://en.wikipedia.org/wiki/Stockard_Channing,https://en.wikipedia.org/wiki/Pal_Joey_(musical),
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,Catherine Zeta-Jones,A Little Night Music,Desiree Armfeldt,https://en.wikipedia.org/wiki/Catherine_Zeta-Jones,https://en.wikipedia.org/wiki/A_Little_Night_Music,
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Kate Baldwin,Finian's Rainbow,Sharon McLonergan,https://en.wikipedia.org/wiki/Kate_Baldwin,https://en.wikipedia.org/wiki/Finian%27s_Rainbow,
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Montego Glover,Memphis,Felicia Farrell,https://en.wikipedia.org/wiki/Montego_Glover,https://en.wikipedia.org/wiki/Memphis_(musical),
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Christiane Noll,Ragtime,Mother,https://en.wikipedia.org/wiki/Christiane_Noll,https://en.wikipedia.org/wiki/Ragtime_(musical),
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Sherie Rene Scott,Everyday Rapture,Sherie Rene Scott,https://en.wikipedia.org/wiki/Sherie_Rene_Scott,https://en.wikipedia.org/wiki/Everyday_Rapture,https://en.wikipedia.org/wiki/Sherie_Rene_Scott
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Donna Murphy,The People in the Picture,Bubbie / Raisel,https://en.wikipedia.org/wiki/Donna_Murphy,https://en.wikipedia.org/wiki/The_People_in_the_Picture,
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Patina Miller,Sister Act,Deloris Van Cartier,https://en.wikipedia.org/wiki/Patina_Miller,https://en.wikipedia.org/wiki/Sister_Act_(musical),
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Beth Leavel,Baby It's You!,Florence Greenberg,https://en.wikipedia.org/wiki/Beth_Leavel,https://en.wikipedia.org/wiki/Baby_It%27s_You!,https://en.wikipedia.org/wiki/Florence_Greenberg
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,Sutton Foster,Anything Goes,Reno Sweeney,https://en.wikipedia.org/wiki/Sutton_Foster,https://en.wikipedia.org/wiki/Anything_Goes,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Audra McDonald,Porgy and Bess,Bess,https://en.wikipedia.org/wiki/Audra_McDonald,https://en.wikipedia.org/wiki/Porgy_and_Bess,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Jan Maxwell,Follies,Phyllis Rogers Stone,https://en.wikipedia.org/wiki/Jan_Maxwell,https://en.wikipedia.org/wiki/Follies,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Cristin Milioti,Once,Girl,https://en.wikipedia.org/wiki/Cristin_Milioti,https://en.wikipedia.org/wiki/Once_(musical),
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Kelli O'Hara,Nice Work If You Can Get It,Billie Bendix,https://en.wikipedia.org/wiki/Kelli_O%27Hara,https://en.wikipedia.org/wiki/Nice_Work_If_You_Can_Get_It_(musical),
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Laura Osnes,Bonnie and Clyde,Bonnie Parker,https://en.wikipedia.org/wiki/Laura_Osnes,https://en.wikipedia.org/wiki/Bonnie_%26_Clyde_(musical),https://en.wikipedia.org/wiki/Bonnie_and_Clyde
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Laura Osnes,Rodgers and Hammerstein's Cinderella,Ella,https://en.wikipedia.org/wiki/Laura_Osnes,https://en.wikipedia.org/wiki/Cinderella_(2013_Broadway_production),
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Carolee Carmello,Scandalous,Aimee Semple McPherson,https://en.wikipedia.org/wiki/Carolee_Carmello,https://en.wikipedia.org/wiki/Scandalous:_The_Life_and_Trials_of_Aimee_Semple_McPherson,https://en.wikipedia.org/wiki/Aimee_Semple_McPherson
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Valisia LeKae,Motown: The Musical,Diana Ross,https://en.wikipedia.org/wiki/Valisia_LeKae,https://en.wikipedia.org/wiki/Motown:_The_Musical,https://en.wikipedia.org/wiki/Diana_Ross
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Patina Miller,Pippin,The Leading Player,https://en.wikipedia.org/wiki/Patina_Miller,https://en.wikipedia.org/wiki/Pippin_(musical),
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Stephanie J. Block,The Mystery of Edwin Drood,Edwin Drood / Miss Alice Nutting,https://en.wikipedia.org/wiki/Stephanie_J._Block,https://en.wikipedia.org/wiki/Drood,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Jessie Mueller,Beautiful: The Carole King Musical,Carole King,https://en.wikipedia.org/wiki/Jessie_Mueller,https://en.wikipedia.org/wiki/Beautiful:_The_Carole_King_Musical,https://en.wikipedia.org/wiki/Carole_King
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Mary Bridget Davies,A Night with Janis Joplin,Janis Joplin,https://en.wikipedia.org/wiki/Mary_Bridget_Davies,https://en.wikipedia.org/wiki/A_Night_with_Janis_Joplin,https://en.wikipedia.org/wiki/Janis_Joplin
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Sutton Foster,Violet,Violet Karl,https://en.wikipedia.org/wiki/Sutton_Foster,https://en.wikipedia.org/wiki/Violet_(musical),
