year,season,season_link,winner,designer,designer_link,production,production_link
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Japhy Weideman,,The Nance,https://en.wikipedia.org/wiki/The_Nance
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Jennifer Tipton,https://en.wikipedia.org/wiki/Jennifer_Tipton,The Testament of Mary,https://en.wikipedia.org/wiki/The_Testament_of_Mary_(play)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,Golden Boy,https://en.wikipedia.org/wiki/Golden_Boy_(play)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Peggy EisenhauerandJules Fisher,https://en.wikipedia.org/wiki/Peggy_Eisenhauer,Lucky Guy,https://en.wikipedia.org/wiki/Lucky_Guy_(play)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,The Glass Menagerie,https://en.wikipedia.org/wiki/The_Glass_Menagerie
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Paule Constable,https://en.wikipedia.org/wiki/Paule_Constable,The Cripple of Inishmaan,https://en.wikipedia.org/wiki/The_Cripple_of_Inishmaan
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Jane Cox,,Machinal,https://en.wikipedia.org/wiki/Machinal
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Japhy Weideman,,Of Mice and Men,https://en.wikipedia.org/wiki/Of_Mice_and_Men_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,Paule Constable,https://en.wikipedia.org/wiki/Paule_Constable,The Curious Incident of the Dog in the Night-Time,https://en.wikipedia.org/wiki/The_Curious_Incident_of_the_Dog_in_the_Night-Time_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Paule Constableand David Plater,https://en.wikipedia.org/wiki/Paule_Constable,Wolf Hall Parts One & Two,https://en.wikipedia.org/wiki/Wolf_Hall#Adaptations
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,Skylight,https://en.wikipedia.org/wiki/Skylight_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Japhy Weideman,,Airline Highway,https://en.wikipedia.org/wiki/Airline_Highway_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Justin Townsend,,The Humans,https://en.wikipedia.org/wiki/The_Humans_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Jan Versweyveld,https://en.wikipedia.org/wiki/Jan_Versweyveld,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Jan Versweyveld,https://en.wikipedia.org/wiki/Jan_Versweyveld,The Crucible,https://en.wikipedia.org/wiki/The_Crucible
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Jennifer Tipton,https://en.wikipedia.org/wiki/Jennifer_Tipton,"A Doll's House, Part 2","https://en.wikipedia.org/wiki/A_Doll%27s_House,_Part_2"
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,Oslo,https://en.wikipedia.org/wiki/Oslo_(play)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Christopher Akerlind,https://en.wikipedia.org/wiki/Christopher_Akerlind,Indecent,https://en.wikipedia.org/wiki/Indecent_(play)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Jane Cox,,Jitney,https://en.wikipedia.org/wiki/Jitney_(play)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Neil Austin,https://en.wikipedia.org/wiki/Neil_Austin_(lighting_designer),Harry Potter and the Cursed Child,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Cursed_Child
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Paule Constable,https://en.wikipedia.org/wiki/Paule_Constable,Angels in America,https://en.wikipedia.org/wiki/Angels_in_America
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Peggy EisenhauerandJules Fisher,https://en.wikipedia.org/wiki/Peggy_Eisenhauer,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Paul Russell,,Farinelli and the King,https://en.wikipedia.org/wiki/Farinelli_and_the_King
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Ben Stanton,,Junk,https://en.wikipedia.org/wiki/Junk:_The_Golden_Age_of_Debt
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Jules FisherandPeggy Eisenhauer,https://en.wikipedia.org/wiki/Jules_Fisher,Gary: A Sequel to Titus Andronicus,https://en.wikipedia.org/wiki/Gary:_A_Sequel_to_Titus_Andronicus
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,Neil Austin,https://en.wikipedia.org/wiki/Neil_Austin_(lighting_designer),Ink,https://en.wikipedia.org/wiki/Ink_(play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Peter Mumford,https://en.wikipedia.org/wiki/Peter_Mumford_(lighting_designer),The Ferryman,https://en.wikipedia.org/wiki/The_Ferryman_(play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Jennifer Tipton,https://en.wikipedia.org/wiki/Jennifer_Tipton,To Kill a Mockingbird,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird_(2018_play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Jan Versweyveldand Tal Yarden,https://en.wikipedia.org/wiki/Jan_Versweyveld,Network,https://en.wikipedia.org/wiki/Network_(play)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Heather Gilbert,,The Sound Inside,https://en.wikipedia.org/wiki/The_Sound_Inside_(play)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Allen Lee Hughes,,A Soldier's Play,https://en.wikipedia.org/wiki/A_Soldier%27s_Play
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Jiyoun Chang,,Slave Play,https://en.wikipedia.org/wiki/Slave_Play
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Jon Clark,,The Inheritance,https://en.wikipedia.org/wiki/The_Inheritance_(play)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Hugh Vanstone,https://en.wikipedia.org/wiki/Hugh_Vanstone,A Christmas Carol,https://en.wikipedia.org/wiki/A_Christmas_Carol_(2017_play)
