year,season,season_link,winner,actress,actress_link,play,play_link,character,character_link,actor,actor_link,role,role_link
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,Claudette Colbert,https://en.wikipedia.org/wiki/Claudette_Colbert,The Marriage-Go-Round,https://en.wikipedia.org/wiki/The_Marriage-Go-Round,Content Lowell,,,,,
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,Lynn Fontanne,https://en.wikipedia.org/wiki/Lynn_Fontanne,The Visit,https://en.wikipedia.org/wiki/The_Visit_(play),Claire Zachanassian,,,,,
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,Kim Stanley,https://en.wikipedia.org/wiki/Kim_Stanley,A Touch of the Poet,https://en.wikipedia.org/wiki/A_Touch_of_the_Poet,Sara Melody,,,,,
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,Maureen Stapleton,https://en.wikipedia.org/wiki/Maureen_Stapleton,The Cold Wind and the Warm,,Ida,,,,,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Irene Worth,https://en.wikipedia.org/wiki/Irene_Worth,Toys in the Attic,https://en.wikipedia.org/wiki/Toys_in_the_Attic_(play),Albertine Prine,,,,,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Geraldine Page,https://en.wikipedia.org/wiki/Geraldine_Page,Sweet Bird of Youth,https://en.wikipedia.org/wiki/Sweet_Bird_of_Youth,Alexandra Del Lago,,,,,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Maureen Stapleton,https://en.wikipedia.org/wiki/Maureen_Stapleton,Toys in the Attic,https://en.wikipedia.org/wiki/Toys_in_the_Attic_(play),Carrie Berniers,,,,,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Margaret Leighton,https://en.wikipedia.org/wiki/Margaret_Leighton,Much Ado About Nothing,https://en.wikipedia.org/wiki/Much_Ado_About_Nothing,Beatrice,https://en.wikipedia.org/wiki/Beatrice_(Much_Ado_About_Nothing),,,,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Claudia McNeil,https://en.wikipedia.org/wiki/Claudia_McNeil,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun,Lena Younger,,,,,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,Anne Bancroft,https://en.wikipedia.org/wiki/Anne_Bancroft,The Miracle Worker,https://en.wikipedia.org/wiki/The_Miracle_Worker_(play),Annie Sullivan,,,,,
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,Joan Plowright,https://en.wikipedia.org/wiki/Joan_Plowright,A Taste of Honey,https://en.wikipedia.org/wiki/A_Taste_of_Honey,Josephine,,,,,
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Tallulah Bankhead,https://en.wikipedia.org/wiki/Tallulah_Bankhead,Midgie Purvis,,Midgie Purvis,,,,,
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Barbara Baxley,https://en.wikipedia.org/wiki/Barbara_Baxley,Period of Adjustment,https://en.wikipedia.org/wiki/Period_of_Adjustment,Isabel Haverstick,,,,,
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Barbara Bel Geddes,https://en.wikipedia.org/wiki/Barbara_Bel_Geddes,"Mary, Mary","https://en.wikipedia.org/wiki/Mary,_Mary_(play)",Mary McKellaway,,,,,
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Colleen Dewhurst,https://en.wikipedia.org/wiki/Colleen_Dewhurst,Great Day in the Morning,,Phoebe Flaherty,,,,,
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Kim Stanley,https://en.wikipedia.org/wiki/Kim_Stanley,A Far Country,https://en.wikipedia.org/wiki/A_Far_Country,Elizabeth von Ritter,,,,,
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,Margaret Leighton,https://en.wikipedia.org/wiki/Margaret_Leighton,The Night of the Iguana,https://en.wikipedia.org/wiki/The_Night_of_the_Iguana,Hannah Jelkes,,,,,
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Gladys Cooper,https://en.wikipedia.org/wiki/Gladys_Cooper,A Passage to India,https://en.wikipedia.org/wiki/A_Passage_to_India_(play),Mrs. Moore,,,,,
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,Uta Hagen,https://en.wikipedia.org/wiki/Uta_Hagen,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F,Martha,,,,,
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Hermione Baddeley,https://en.wikipedia.org/wiki/Hermione_Baddeley,The Milk Train Doesn't Stop Here Anymore,https://en.wikipedia.org/wiki/The_Milk_Train_Doesn%27t_Stop_Here_Anymore,Flora Goforth,,,,,
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Margaret Leighton,https://en.wikipedia.org/wiki/Margaret_Leighton,Tchin-Tchin,https://en.wikipedia.org/wiki/Tchin-Tchin,Pamela Pew-Pickett,,,,,
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Claudia McNeil,https://en.wikipedia.org/wiki/Claudia_McNeil,"Tiger, Tiger Burning Bright",,Mama,,,,,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Sandy Dennis,https://en.wikipedia.org/wiki/Sandy_Dennis,Any Wednesday,,Ellen Gordon,,,,,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Elizabeth Ashley,https://en.wikipedia.org/wiki/Elizabeth_Ashley,Barefoot in the Park,https://en.wikipedia.org/wiki/Barefoot_in_the_Park,Corie Bratter,,,,,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Colleen Dewhurst,https://en.wikipedia.org/wiki/Colleen_Dewhurst,The Ballad of the Sad Café,,Amelia Evans,,,,,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Julie Harris,https://en.wikipedia.org/wiki/Julie_Harris,Marathon '33,,June Havoc,https://en.wikipedia.org/wiki/June_Havoc,,,,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Diana Sands,https://en.wikipedia.org/wiki/Diana_Sands,The Owl and the Pussycat,,Doris,,,,,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Beah Richards,https://en.wikipedia.org/wiki/Beah_Richards,The Amen Corner,https://en.wikipedia.org/wiki/The_Amen_Corner,Sister Margaret Alexander,,,,,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Irene Worth,https://en.wikipedia.org/wiki/Irene_Worth,Tiny Alice,https://en.wikipedia.org/wiki/Tiny_Alice,Miss Alice,,,,,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Marjorie Rhodes,https://en.wikipedia.org/wiki/Marjorie_Rhodes,All in Good Time,,Lucy Fitton,,,,,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,True,Rosemary Harris,https://en.wikipedia.org/wiki/Rosemary_Harris,The Lion in Winter,https://en.wikipedia.org/wiki/The_Lion_in_Winter,Eleanor of Aquitaine,https://en.wikipedia.org/wiki/Eleanor_of_Aquitaine,,,,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Sheila Hancock,https://en.wikipedia.org/wiki/Sheila_Hancock,Entertaining Mr Sloane,https://en.wikipedia.org/wiki/Entertaining_Mr_Sloane,Kath,,,,,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Kate Reid,https://en.wikipedia.org/wiki/Kate_Reid,Slapstick Tragedy,https://en.wikipedia.org/wiki/List_of_one-act_plays_by_Tennessee_Williams#Slapstick_Tragedy,Celeste/Molly,,,,,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Lee Remick,https://en.wikipedia.org/wiki/Lee_Remick,Wait Until Dark,https://en.wikipedia.org/wiki/Wait_Until_Dark,Susy Hendrix,,,,,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Rosemary Murphy,https://en.wikipedia.org/wiki/Rosemary_Murphy,A Delicate Balance,https://en.wikipedia.org/wiki/A_Delicate_Balance_(play),Claire,,,,,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,True,Beryl Reid,https://en.wikipedia.org/wiki/Beryl_Reid,The Killing of Sister George,https://en.wikipedia.org/wiki/The_Killing_of_Sister_George,Sister George / June Buckridge,,,,,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Eileen Atkins,https://en.wikipedia.org/wiki/Eileen_Atkins,The Killing of Sister George,,Childie / Alice McNaught,,,,,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Vivien Merchant,https://en.wikipedia.org/wiki/Vivien_Merchant,The Homecoming,https://en.wikipedia.org/wiki/The_Homecoming,Ruth,,,,,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,True,Zoe Caldwell,https://en.wikipedia.org/wiki/Zoe_Caldwell,The Prime of Miss Jean Brodie,,Jean Brodie,https://en.wikipedia.org/wiki/Jean_Brodie,,,,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Colleen Dewhurst,https://en.wikipedia.org/wiki/Colleen_Dewhurst,More Stately Mansions,https://en.wikipedia.org/wiki/More_Stately_Mansions,Sara (Melody) Harford,,,,,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Maureen Stapleton,https://en.wikipedia.org/wiki/Maureen_Stapleton,Plaza Suite,https://en.wikipedia.org/wiki/Plaza_Suite,Karen Nash / Murial Tate / Norma Hubley,,,,,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Dorothy Tutin,https://en.wikipedia.org/wiki/Dorothy_Tutin,Portrait of a Queen,,Queen Victoria,https://en.wikipedia.org/wiki/Queen_Victoria,,,,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Charlotte Rae,https://en.wikipedia.org/wiki/Charlotte_Rae,"Morning, Noon and Night",https://en.wikipedia.org/wiki/Noon_(play),Gertrude / Beryl / Filigree Bones,,,,,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Brenda Vaccaro,https://en.wikipedia.org/wiki/Brenda_Vaccaro,The Goodbye People,https://en.wikipedia.org/wiki/The_Goodbye_People,Nancy (Silverman) Scott,,,,,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,True,Julie Harris,https://en.wikipedia.org/wiki/Julie_Harris,Forty Carats,https://en.wikipedia.org/wiki/Forty_Carats,Ann Stanley,,,,,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Estelle Parsons,https://en.wikipedia.org/wiki/Estelle_Parsons,The Seven Descents of Myrtle,https://en.wikipedia.org/wiki/The_Seven_Descents_of_Myrtle,Myrtle,,,,,
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Helen Hayes,https://en.wikipedia.org/wiki/Helen_Hayes,Harvey,https://en.wikipedia.org/wiki/Harvey_(play),Veta Louise Simmons,,,,,
1970,24th Tony Awards,/wiki/24th_Tony_Awards,True,Tammy Grimes,https://en.wikipedia.org/wiki/Tammy_Grimes,Private Lives,https://en.wikipedia.org/wiki/Private_Lives,Amanda Prynne,,,,,
