year,season,season_link,winner,actress,actress_link,play,play_link,character,character_link,actor,actor_link,role,role_link
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Glenda Jackson,https://en.wikipedia.org/wiki/Glenda_Jackson,Rose,,Rose,,,,,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Eva Le Gallienne,https://en.wikipedia.org/wiki/Eva_Le_Gallienne,To Grandmother's House We Go,,Grandie,,,,,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Elizabeth Taylor,https://en.wikipedia.org/wiki/Elizabeth_Taylor,The Little Foxes,https://en.wikipedia.org/wiki/The_Little_Foxes,Regina Giddens,,,,,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,Zoe Caldwell,https://en.wikipedia.org/wiki/Zoe_Caldwell,Medea,https://en.wikipedia.org/wiki/Medea_(play),Medea,https://en.wikipedia.org/wiki/Medea,,,,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Katharine Hepburn,https://en.wikipedia.org/wiki/Katharine_Hepburn,The West Side Waltz,https://en.wikipedia.org/wiki/The_West_Side_Waltz,Margaret Mary Elderdice,,,,,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Geraldine Page,https://en.wikipedia.org/wiki/Geraldine_Page,Agnes of God,https://en.wikipedia.org/wiki/Agnes_of_God,Mother Miriam Ruth,,,,,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Amanda Plummer,https://en.wikipedia.org/wiki/Amanda_Plummer,A Taste of Honey,https://en.wikipedia.org/wiki/A_Taste_of_Honey,Josephine,,,,,
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Anne Pitoniak,https://en.wikipedia.org/wiki/Anne_Pitoniak,"'night, Mother",,Thelma Cates,,,,,
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Kate Nelligan,https://en.wikipedia.org/wiki/Kate_Nelligan,Plenty,https://en.wikipedia.org/wiki/Plenty_(play),Susan Traherne,,,,,
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Kathy Bates,https://en.wikipedia.org/wiki/Kathy_Bates,"'night, Mother","https://en.wikipedia.org/wiki/%27night,_Mother",Jessie Cates,,,,,
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,Jessica Tandy,https://en.wikipedia.org/wiki/Jessica_Tandy,Foxfire,https://en.wikipedia.org/wiki/Foxfire_(play),Annie Nations,,,,,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,Glenn Close,https://en.wikipedia.org/wiki/Glenn_Close,The Real Thing,https://en.wikipedia.org/wiki/The_Real_Thing_(play),Annie,,,,,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Rosemary Harris,https://en.wikipedia.org/wiki/Rosemary_Harris,Heartbreak House,https://en.wikipedia.org/wiki/Heartbreak_House,Hesione Hushabye,,,,,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Linda Hunt,https://en.wikipedia.org/wiki/Linda_Hunt,End of the World,,Audrey Wood,,,,,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Kate Nelligan,https://en.wikipedia.org/wiki/Kate_Nelligan,A Moon for the Misbegotten,https://en.wikipedia.org/wiki/A_Moon_for_the_Misbegotten,Josie Hogan,,,,,
1985,39th Tony Awards,/wiki/39th_Tony_Awards,True,Stockard Channing,https://en.wikipedia.org/wiki/Stockard_Channing,A Day in the Death of Joe Egg,https://en.wikipedia.org/wiki/A_Day_in_the_Death_of_Joe_Egg,Sheila,,,,,
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Sinéad Cusack,https://en.wikipedia.org/wiki/Sin%C3%A9ad_Cusack,Much Ado About Nothing,https://en.wikipedia.org/wiki/Much_Ado_About_Nothing,Beatrice,https://en.wikipedia.org/wiki/Beatrice_(Much_Ado_About_Nothing),,,,
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Rosemary Harris,https://en.wikipedia.org/wiki/Rosemary_Harris,Pack of Lies,https://en.wikipedia.org/wiki/Pack_of_Lies,Barbara Jackson,,,,,
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Glenda Jackson,https://en.wikipedia.org/wiki/Glenda_Jackson,Strange Interlude,https://en.wikipedia.org/wiki/Strange_Interlude,Nina Leeds,,,,,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,True,Lily Tomlin,https://en.wikipedia.org/wiki/Lily_Tomlin,The Search for Signs of Intelligent Life in the Universe,https://en.wikipedia.org/wiki/The_Search_for_Signs_of_Intelligent_Life_in_the_Universe,Various Characters,,,,,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Rosemary Harris,https://en.wikipedia.org/wiki/Rosemary_Harris,Hay Fever,https://en.wikipedia.org/wiki/Hay_Fever_(play),Judith Bliss,,,,,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Mary Beth Hurt,https://en.wikipedia.org/wiki/Mary_Beth_Hurt,Benefactors,https://en.wikipedia.org/wiki/Benefactors_(play),Sheila,,,,,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Jessica Tandy,https://en.wikipedia.org/wiki/Jessica_Tandy,The Petition,,Elizabeth Milne,,,,,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Lindsay Duncan,https://en.wikipedia.org/wiki/Lindsay_Duncan,Dangerous Liaisons,https://en.wikipedia.org/wiki/Les_liaisons_dangereuses_(play),Marquise de Merteuil,,,,,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Geraldine Page,https://en.wikipedia.org/wiki/Geraldine_Page,Blithe Spirit,https://en.wikipedia.org/wiki/Blithe_Spirit_(play),Madame Arcati,,,,,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,True,Linda Lavin,https://en.wikipedia.org/wiki/Linda_Lavin,Broadway Bound,https://en.wikipedia.org/wiki/Broadway_Bound,Kate Jerome,,,,,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Amanda Plummer,https://en.wikipedia.org/wiki/Amanda_Plummer,Pygmalion,https://en.wikipedia.org/wiki/Pygmalion_(play),Eliza Doolittle,https://en.wikipedia.org/wiki/Eliza_Doolittle,,,,
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Frances McDormand,https://en.wikipedia.org/wiki/Frances_McDormand,A Streetcar Named Desire,,Stella Kowalski,https://en.wikipedia.org/wiki/Stella_Kowalski,,,,
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Glenda Jackson,https://en.wikipedia.org/wiki/Glenda_Jackson,Macbeth,https://en.wikipedia.org/wiki/Macbeth,Lady Macbeth,https://en.wikipedia.org/wiki/Lady_Macbeth,,,,
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Blythe Danner,https://en.wikipedia.org/wiki/Blythe_Danner,A Streetcar Named Desire,https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire,Blanche DuBois,https://en.wikipedia.org/wiki/Blanche_DuBois,,,,
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,Joan Allen,https://en.wikipedia.org/wiki/Joan_Allen,Burn This,https://en.wikipedia.org/wiki/Burn_This,Anna Mann,,,,,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,True,Pauline Collins,https://en.wikipedia.org/wiki/Pauline_Collins,Shirley Valentine,https://en.wikipedia.org/wiki/Shirley_Valentine,Shirley Valentine,,,,,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Joan Allen,https://en.wikipedia.org/wiki/Joan_Allen,The Heidi Chronicles,https://en.wikipedia.org/wiki/The_Heidi_Chronicles,Heidi Holland,,,,,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Madeline Kahn,https://en.wikipedia.org/wiki/Madeline_Kahn,Born Yesterday,https://en.wikipedia.org/wiki/Born_Yesterday_(play),Emma 'Billie' Dawn,,,,,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Kate Nelligan,https://en.wikipedia.org/wiki/Kate_Nelligan,Spoils of War,,Elise,,,,,
1990,44th Tony Awards,/wiki/44th_Tony_Awards,True,,,Lettice Douffet,,,,Maggie Smith,https://en.wikipedia.org/wiki/Maggie_Smith,Lettice and Lovage,https://en.wikipedia.org/wiki/Lettice_and_Lovage
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,,,Portia,https://en.wikipedia.org/wiki/Portia_(Merchant_of_Venice),,,Geraldine James,https://en.wikipedia.org/wiki/Geraldine_James,The Merchant of Venice,https://en.wikipedia.org/wiki/The_Merchant_of_Venice
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,,,Rita Boyle,,,,Mary-Louise Parker,https://en.wikipedia.org/wiki/Mary-Louise_Parker,Prelude to a Kiss,https://en.wikipedia.org/wiki/Prelude_to_a_Kiss_(play)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,,,Maggie Pollitt,,,,Kathleen Turner,https://en.wikipedia.org/wiki/Kathleen_Turner,Cat on a Hot Tin Roof,https://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,,,Liz Morden / Reverend Johnson,,,,Cherry Jones,https://en.wikipedia.org/wiki/Cherry_Jones,Our Country's Good,https://en.wikipedia.org/wiki/Our_Country%27s_Good
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,,,Karen Blixen,https://en.wikipedia.org/wiki/Karen_Blixen,,,Julie Harris,https://en.wikipedia.org/wiki/Julie_Harris,Lucifer's Child,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,True,,,Bella Kurnitz,,,,Mercedes Ruehl,https://en.wikipedia.org/wiki/Mercedes_Ruehl,Lost in Yonkers,https://en.wikipedia.org/wiki/Lost_in_Yonkers
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,,,Ouisa Kittredge,,,,Stockard Channing,https://en.wikipedia.org/wiki/Stockard_Channing,Six Degrees of Separation,https://en.wikipedia.org/wiki/Six_Degrees_of_Separation_(play)
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,,,Paulina Salas Escobar,,,,Glenn Close,https://en.wikipedia.org/wiki/Glenn_Close,Death and the Maiden,https://en.wikipedia.org/wiki/Death_and_the_Maiden_(play)
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,,,Claire Zachanassian,,,,Jane Alexander,https://en.wikipedia.org/wiki/Jane_Alexander,The Visit,https://en.wikipedia.org/wiki/The_Visit_(play)
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,,,Penny McKenzie,,,,Stockard Channing,https://en.wikipedia.org/wiki/Stockard_Channing,Four Baboons Adoring the Sun,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,,,Kathleen Hogan,,,,Judith Ivey,https://en.wikipedia.org/wiki/Judith_Ivey,Park Your Car in Harvard Yard,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,,,Anna Christopherson,,,,Natasha Richardson,https://en.wikipedia.org/wiki/Natasha_Richardson,Anna Christie,https://en.wikipedia.org/wiki/Anna_Christie
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,,,Lynn Redgrave,https://en.wikipedia.org/wiki/Lynn_Redgrave,,,Lynn Redgrave,https://en.wikipedia.org/wiki/Lynn_Redgrave,Shakespeare for My Father,https://en.wikipedia.org/wiki/Shakespeare_for_My_Father
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,,,Gorgeous Teitelbaum,,,,Madeline Kahn,https://en.wikipedia.org/wiki/Madeline_Kahn,The Sisters Rosensweig,https://en.wikipedia.org/wiki/The_Sisters_Rosensweig
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,,,Sara Goode,,,,Jane Alexander,https://en.wikipedia.org/wiki/Jane_Alexander,The Sisters Rosensweig,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,,,Medea,https://en.wikipedia.org/wiki/Medea,,,Diana Rigg,https://en.wikipedia.org/wiki/Diana_Rigg,Medea,https://en.wikipedia.org/wiki/Medea_(play)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,,,Various Characters,,,,Anna Deavere Smith,https://en.wikipedia.org/wiki/Anna_Deavere_Smith,"Twilight: Los Angeles, 1992","https://en.wikipedia.org/wiki/Twilight:_Los_Angeles,_1992"
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,,,Sophie,,,,Nancy Marchand,https://en.wikipedia.org/wiki/Nancy_Marchand,Black Comedy,https://en.wikipedia.org/wiki/Black_Comedy_(play)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,,,Mrs. Furnival,,,,Nancy Marchand,https://en.wikipedia.org/wiki/Nancy_Marchand,The White Liars,https://en.wikipedia.org/wiki/The_White_Liars
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,,,Sally Marr,https://en.wikipedia.org/wiki/Sally_Marr,,,Joan Rivers,https://en.wikipedia.org/wiki/Joan_Rivers,Sally Marr...and her escorts,
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,,,Catherine Sloper,,,,Cherry Jones,https://en.wikipedia.org/wiki/Cherry_Jones,The Heiress,https://en.wikipedia.org/wiki/The_Heiress_(1947_play)
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,,,Bessie Delany,https://en.wikipedia.org/wiki/Annie_Elizabeth_Delany,,,Mary Alice,https://en.wikipedia.org/wiki/Mary_Alice,Having Our Say,
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,,,Léonie,,,,Eileen Atkins,https://en.wikipedia.org/wiki/Eileen_Atkins,Indiscretions,https://en.wikipedia.org/wiki/Les_Parents_terribles
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,,,Natalia Petrovna,,,,Helen Mirren,https://en.wikipedia.org/wiki/Helen_Mirren,A Month in the Country,https://en.wikipedia.org/wiki/A_Month_in_the_Country_(play)
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,,,Claire,,,,Elaine Stritch,https://en.wikipedia.org/wiki/Elaine_Stritch,A Delicate Balance,https://en.wikipedia.org/wiki/A_Delicate_Balance_(play)
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,,,Maria Callas,https://en.wikipedia.org/wiki/Maria_Callas,,,Zoe Caldwell,https://en.wikipedia.org/wiki/Zoe_Caldwell,Master Class,https://en.wikipedia.org/wiki/Master_Class
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,,,Charlotte Hay,,,,Carol Burnett,https://en.wikipedia.org/wiki/Carol_Burnett,Moon Over Buffalo,https://en.wikipedia.org/wiki/Moon_Over_Buffalo
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,,,Agnes,,,,Rosemary Harris,https://en.wikipedia.org/wiki/Rosemary_Harris,A Delicate Balance,https://en.wikipedia.org/wiki/A_Delicate_Balance_(play)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,,,Kyra Hollis,,,,Lia Williams,https://en.wikipedia.org/wiki/Lia_Williams,Skylight,https://en.wikipedia.org/wiki/Skylight_(play)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,,,Lily Dale Kidder,,,,Shirley Knight,https://en.wikipedia.org/wiki/Shirley_Knight,The Young Man From Atlanta,https://en.wikipedia.org/wiki/The_Young_Man_From_Atlanta
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,,,Fonsia Dorsey,,,,Julie Harris,https://en.wikipedia.org/wiki/Julie_Harris_(actress),The Gin Game,https://en.wikipedia.org/wiki/The_Gin_Game
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,,,Nora Helmer,,,,Janet McTeer,https://en.wikipedia.org/wiki/Janet_McTeer,A Doll's House,https://en.wikipedia.org/wiki/A_Doll%27s_House
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,,,Maureen Folan,,,,Marie Mullen,https://en.wikipedia.org/wiki/Marie_Mullen,The Beauty Queen of Leenane,https://en.wikipedia.org/wiki/The_Beauty_Queen_of_Leenane
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,,,Honor,,,,Jane Alexander,https://en.wikipedia.org/wiki/Jane_Alexander,Honour,https://en.wikipedia.org/wiki/Honour_(Murray-Smith_play)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,,,Beatrice Carbone,,,,Allison Janney,https://en.wikipedia.org/wiki/Allison_Janney,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,,,Old Woman,,,,Geraldine McEwan,https://en.wikipedia.org/wiki/Geraldine_McEwan,The Chairs,https://en.wikipedia.org/wiki/The_Chairs
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,,,Electra,https://en.wikipedia.org/wiki/Electra,,,Zoë Wanamaker,https://en.wikipedia.org/wiki/Zo%C3%AB_Wanamaker,Electra,https://en.wikipedia.org/wiki/Electra_(Sophocles)
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,,,Madame Desmermortes,,,,Marian Seldes,https://en.wikipedia.org/wiki/Marian_Seldes,Ring Round the Moon,https://en.wikipedia.org/wiki/Ring_Round_the_Moon
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,,,Esme Allen,,,,Judi Dench,https://en.wikipedia.org/wiki/Judi_Dench,Amy's View,https://en.wikipedia.org/wiki/Amy%27s_View
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,,,Eleanor of Aquitaine,https://en.wikipedia.org/wiki/Eleanor_of_Aquitaine,,,Stockard Channing,https://en.wikipedia.org/wiki/Stockard_Channing,The Lion in Winter,https://en.wikipedia.org/wiki/The_Lion_in_Winter
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,,,Annie,,,,Jennifer Ehle,https://en.wikipedia.org/wiki/Jennifer_Ehle,The Real Thing,https://en.wikipedia.org/wiki/The_Real_Thing_(play)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,,,Lizzie Curry,,,,Jayne Atkinson,https://en.wikipedia.org/wiki/Jayne_Atkinson,The Rainmaker,https://en.wikipedia.org/wiki/The_Rainmaker_(play)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,,,May Davenport,,,,Rosemary Harris,https://en.wikipedia.org/wiki/Rosemary_Harris,Waiting in the Wings,https://en.wikipedia.org/wiki/Waiting_in_the_Wings_(play)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,,,Josie Hogan,,,,Cherry Jones,https://en.wikipedia.org/wiki/Cherry_Jones,A Moon for the Misbegotten,https://en.wikipedia.org/wiki/A_Moon_for_the_Misbegotten
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,,,Jo /Mae West,https://en.wikipedia.org/wiki/Mae_West,,,Claudia Shear,https://en.wikipedia.org/wiki/Claudia_Shear,Dirty Blonde,https://en.wikipedia.org/wiki/Dirty_Blonde_(play)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,,,Ruby,,,,Leslie Uggams,https://en.wikipedia.org/wiki/Leslie_Uggams,King Hedley II,https://en.wikipedia.org/wiki/King_Hedley_II
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,,,Lorraine Sheldon,,,,Jean Smart,https://en.wikipedia.org/wiki/Jean_Smart,The Man Who Came to Dinner,https://en.wikipedia.org/wiki/The_Man_Who_Came_to_Dinner
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,,,Marjorie Taub,,,,Linda Lavin,https://en.wikipedia.org/wiki/Linda_Lavin,The Tale of the Allergist's Wife,https://en.wikipedia.org/wiki/The_Tale_of_the_Allergist%27s_Wife
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,,,Emma,,,,Juliette Binoche,https://en.wikipedia.org/wiki/Juliette_Binoche,Betrayal,https://en.wikipedia.org/wiki/Betrayal_(play)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,,,Catherine Llewellyn,,,,Mary-Louise Parker,https://en.wikipedia.org/wiki/Mary-Louise_Parker,Proof,https://en.wikipedia.org/wiki/Proof_(play)
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,,,Amanda Prynne,,,,Lindsay Duncan,https://en.wikipedia.org/wiki/Lindsay_Duncan,Private Lives,https://en.wikipedia.org/wiki/Private_Lives
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,,,Hedda Gabler,,,,Kate Burton,https://en.wikipedia.org/wiki/Kate_Burton_(actress),Hedda Gabler,https://en.wikipedia.org/wiki/Hedda_Gabler
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,,,Elizabeth Proctor,https://en.wikipedia.org/wiki/Elizabeth_Proctor,,,Laura Linney,https://en.wikipedia.org/wiki/Laura_Linney,The Crucible,https://en.wikipedia.org/wiki/The_Crucible
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,,,Alice,,,,Helen Mirren,https://en.wikipedia.org/wiki/Helen_Mirren,The Dance of Death,https://en.wikipedia.org/wiki/The_Dance_of_Death_(Strindberg)
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,,,Stevie,,,,Mercedes Ruehl,https://en.wikipedia.org/wiki/Mercedes_Ruehl,"The Goat, or Who Is Sylvia?","https://en.wikipedia.org/wiki/The_Goat,_or_Who_Is_Sylvia%3F"
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,,,Medea,https://en.wikipedia.org/wiki/Medea,,,Fiona Shaw,https://en.wikipedia.org/wiki/Fiona_Shaw,Medea,https://en.wikipedia.org/wiki/Medea_(play)
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,,,Ursula Loyler,,,,Clare Higgins,https://en.wikipedia.org/wiki/Clare_Higgins,Vincent in Brixton,https://en.wikipedia.org/wiki/Vincent_in_Brixton
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,,,Lotty Wilton,,,,Jayne Atkinson,https://en.wikipedia.org/wiki/Jayne_Atkinson,Enchanted April,https://en.wikipedia.org/wiki/Enchanted_April_(2003_play)
2003,57th Tony Awards,/wiki/57th_Tony_Awards,True,,,Mary Tyrone,,,,Vanessa Redgrave,https://en.wikipedia.org/wiki/Vanessa_Redgrave,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,,,Sheila,,,,Victoria Hamilton,https://en.wikipedia.org/wiki/Victoria_Hamilton,A Day in the Death of Joe Egg,https://en.wikipedia.org/wiki/A_Day_in_the_Death_of_Joe_Egg
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,,,Lily Garland / Mildred Plotka,,,,Anne Heche,https://en.wikipedia.org/wiki/Anne_Heche,Twentieth Century,https://en.wikipedia.org/wiki/Twentieth_Century_(play)
2004,58th Tony Awards,/wiki/58th_Tony_Awards,True,,,Lena Younger,,,,Phylicia Rashad,https://en.wikipedia.org/wiki/Phylicia_Rashad,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,,,Alice,,,,Eileen Atkins,https://en.wikipedia.org/wiki/Eileen_Atkins,The Retreat from Moscow,https://en.wikipedia.org/wiki/The_Retreat_from_Moscow
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,,,Golda Meir,https://en.wikipedia.org/wiki/Golda_Meir,,,Tovah Feldshuh,https://en.wikipedia.org/wiki/Tovah_Feldshuh,Golda's Balcony,https://en.wikipedia.org/wiki/Golda%27s_Balcony
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,,,Nancy,,,,Swoosie Kurtz,https://en.wikipedia.org/wiki/Swoosie_Kurtz,Frozen,https://en.wikipedia.org/wiki/Frozen_(play)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,,,Martha,,,,Kathleen Turner,https://en.wikipedia.org/wiki/Kathleen_Turner,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,,,Rachel,,,,Mary-Louise Parker,https://en.wikipedia.org/wiki/Mary-Louise_Parker,Reckless,
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,,,Aunt Ester,,,,Phylicia Rashad,https://en.wikipedia.org/wiki/Phylicia_Rashad,Gem of the Ocean,https://en.wikipedia.org/wiki/Gem_of_the_Ocean
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,,,Patricia,,,,Laura Linney,https://en.wikipedia.org/wiki/Laura_Linney,Sight Unseen,https://en.wikipedia.org/wiki/Sight_Unseen_(play)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,,,Sister Aloysius Beauvier,,,,Cherry Jones,https://en.wikipedia.org/wiki/Cherry_Jones,Doubt,https://en.wikipedia.org/wiki/Doubt:_A_Parable
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,,,Becca Corbett,,,,Cynthia Nixon,https://en.wikipedia.org/wiki/Cynthia_Nixon,Rabbit Hole,https://en.wikipedia.org/wiki/Rabbit_Hole
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,,,Constance Culver Middleton,,,,Kate Burton,https://en.wikipedia.org/wiki/Kate_Burton_(actress),The Constant Wife,https://en.wikipedia.org/wiki/The_Constant_Wife
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,,,Florence Foster Jenkins,https://en.wikipedia.org/wiki/Florence_Foster_Jenkins,,,Judy Kaye,https://en.wikipedia.org/wiki/Judy_Kaye,Souvenir,https://en.wikipedia.org/wiki/Souvenir_(play)
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,,,Lisa Kron,https://en.wikipedia.org/wiki/Lisa_Kron,,,Lisa Kron,https://en.wikipedia.org/wiki/Lisa_Kron,Well,https://en.wikipedia.org/wiki/Well_(play)
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,,,Mrs. Culver,,,,Lynn Redgrave,https://en.wikipedia.org/wiki/Lynn_Redgrave,The Constant Wife,
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,,,Joan Didion,https://en.wikipedia.org/wiki/Joan_Didion,,,Vanessa Redgrave,https://en.wikipedia.org/wiki/Vanessa_Redgrave,The Year of Magical Thinking,https://en.wikipedia.org/wiki/The_Year_of_Magical_Thinking
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,,,Leona Mullen,,,,Angela Lansbury,https://en.wikipedia.org/wiki/Angela_Lansbury,Deuce,https://en.wikipedia.org/wiki/Deuce_(play)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,,,Hesione Hushabye,,,,Swoosie Kurtz,https://en.wikipedia.org/wiki/Swoosie_Kurtz,Heartbreak House,https://en.wikipedia.org/wiki/Heartbreak_House
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,,,Josie Hogan,,,,Eve Best,https://en.wikipedia.org/wiki/Eve_Best,A Moon for the Misbegotten,https://en.wikipedia.org/wiki/A_Moon_for_the_Misbegotten
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,,,Diane,,,,Julie White,https://en.wikipedia.org/wiki/Julie_White,The Little Dog Laughed,https://en.wikipedia.org/wiki/The_Little_Dog_Laughed
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,,,Violet Weston,,,,Deanna Dunagan,https://en.wikipedia.org/wiki/Deanna_Dunagan,August: Osage County,https://en.wikipedia.org/wiki/August:_Osage_County
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,,,Ruth,,,,Eve Best,https://en.wikipedia.org/wiki/Eve_Best,The Homecoming,https://en.wikipedia.org/wiki/The_Homecoming
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,,,Lady Macbeth,https://en.wikipedia.org/wiki/Lady_Macbeth,,,Kate Fleetwood,https://en.wikipedia.org/wiki/Kate_Fleetwood,Macbeth,https://en.wikipedia.org/wiki/Macbeth
