year,season,season_link,winner,musical,musical_link,book,book_link,music,music_link,lyrics,lyrics_link
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Peter Pan,https://en.wikipedia.org/wiki/Peter_Pan_(1954_musical),J. M. Barrie,https://en.wikipedia.org/wiki/J._M._Barrie,Moose Charlap&Jule Styne,https://en.wikipedia.org/wiki/Moose_Charlap,"Betty Comden,Adolph Green& Leigh",https://en.wikipedia.org/wiki/Betty_Comden
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,"You're a Good Man, Charlie Brown","https://en.wikipedia.org/wiki/You%27re_a_Good_Man,_Charlie_Brown",John Gordon,,Clark Gesner,https://en.wikipedia.org/wiki/Clark_Gesner,Clark Gesner,https://en.wikipedia.org/wiki/Clark_Gesner
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Tango Argentino,https://en.wikipedia.org/wiki/Tango_Argentino_(musical),Héctor Orezzoli & Claudio Segovia,,Various,,Various,
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,The Music Man,https://en.wikipedia.org/wiki/The_Music_Man,Franklin Lacey&Meredith Willson,https://en.wikipedia.org/wiki/Franklin_Lacey,Willson,,Willson,
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate",Bella and Samuel Spewack,https://en.wikipedia.org/wiki/Bella_and_Samuel_Spewack,Cole Porter,https://en.wikipedia.org/wiki/Cole_Porter,Cole Porter,https://en.wikipedia.org/wiki/Cole_Porter
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Jesus Christ Superstar,https://en.wikipedia.org/wiki/Jesus_Christ_Superstar,Tim Rice,https://en.wikipedia.org/wiki/Tim_Rice,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Rice,
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,42nd Street,https://en.wikipedia.org/wiki/42nd_Street_(musical),Mark Bramble&Michael Stewart,https://en.wikipedia.org/wiki/Mark_Bramble,Harry Warren,https://en.wikipedia.org/wiki/Harry_Warren,Al Dubin,https://en.wikipedia.org/wiki/Al_Dubin
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Bells Are Ringing,https://en.wikipedia.org/wiki/Bells_Are_Ringing_(musical),Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden,Jule Styne,https://en.wikipedia.org/wiki/Jule_Styne,Comden & Green,
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Follies,https://en.wikipedia.org/wiki/Follies,James Goldman,https://en.wikipedia.org/wiki/James_Goldman,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,The Rocky Horror Show,https://en.wikipedia.org/wiki/The_Rocky_Horror_Show,Richard O'Brien,https://en.wikipedia.org/wiki/Richard_O%27Brien,Richard O'Brien,https://en.wikipedia.org/wiki/Richard_O%27Brien,Richard O'Brien,https://en.wikipedia.org/wiki/Richard_O%27Brien
