year,season,season_link,winner,designer,designer_link,production,production_link
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,Scott Pask,https://en.wikipedia.org/wiki/Scott_Pask,The Book of Mormon,https://en.wikipedia.org/wiki/The_Book_of_Mormon_(musical)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Beowulf Boritt,,The Scottsboro Boys,https://en.wikipedia.org/wiki/The_Scottsboro_Boys_(musical)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Donyale Werle,https://en.wikipedia.org/wiki/Donyale_Werle,Bloody Bloody Andrew Jackson,https://en.wikipedia.org/wiki/Bloody_Bloody_Andrew_Jackson
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,George Tsypin,https://en.wikipedia.org/wiki/George_Tsypin,Spider-Man: Turn Off the Dark,https://en.wikipedia.org/wiki/Spider-Man:_Turn_Off_the_Dark
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Sven Ortel & Tobin Ost,,Newsies,https://en.wikipedia.org/wiki/Newsies_(musical)
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Bob Crowley,https://en.wikipedia.org/wiki/Bob_Crowley,Once,https://en.wikipedia.org/wiki/Once_(musical)
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Jon Driscoll&Rob Howell,https://en.wikipedia.org/wiki/Jon_Driscoll,Ghost the Musical,https://en.wikipedia.org/wiki/Ghost_the_Musical
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Rob Howell,https://en.wikipedia.org/wiki/Rob_Howell,Matilda the Musical,https://en.wikipedia.org/wiki/Matilda_the_Musical
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Anna Louizos,https://en.wikipedia.org/wiki/Anna_Louizos,The Mystery of Edwin Drood,https://en.wikipedia.org/wiki/Drood
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Scott Pask,https://en.wikipedia.org/wiki/Scott_Pask,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,David Rockwell,https://en.wikipedia.org/wiki/David_Rockwell,Kinky Boots,https://en.wikipedia.org/wiki/Kinky_Boots_(musical)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Christopher Barreca,,Rocky the Musical,https://en.wikipedia.org/wiki/Rocky_the_Musical
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Julian Crouch,,Hedwig and the Angry Inch,https://en.wikipedia.org/wiki/Hedwig_and_the_Angry_Inch_(musical)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Alexander Dodge,,A Gentleman's Guide to Love and Murder,https://en.wikipedia.org/wiki/A_Gentleman%27s_Guide_to_Love_and_Murder
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Santo Loquasto,https://en.wikipedia.org/wiki/Santo_Loquasto,Bullets Over Broadway,https://en.wikipedia.org/wiki/Bullets_Over_Broadway_(musical)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,Bob Crowley&59 Productions,https://en.wikipedia.org/wiki/Bob_Crowley,An American in Paris,https://en.wikipedia.org/wiki/An_American_in_Paris_(musical)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,David Rockwell,https://en.wikipedia.org/wiki/David_Rockwell,On the Twentieth Century,https://en.wikipedia.org/wiki/On_the_Twentieth_Century
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Michael Yeargan,https://en.wikipedia.org/wiki/Michael_Yeargan,The King and I,https://en.wikipedia.org/wiki/The_King_and_I
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,David Zinn,https://en.wikipedia.org/wiki/David_Zinn,Fun Home,https://en.wikipedia.org/wiki/Fun_Home_(musical)
