year,season,season_link,winner,designer,designer_link,production,production_link
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Paul Tazewell,https://en.wikipedia.org/wiki/Paul_Tazewell,A Streetcar Named Desire,https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire_(play)
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Mark Thompson,,"One Man, Two Guvnors","https://en.wikipedia.org/wiki/One_Man,_Two_Guvnors"
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Paloma Young,https://en.wikipedia.org/wiki/Paloma_Young,Peter and the Starcatcher,https://en.wikipedia.org/wiki/Peter_and_the_Starcatcher
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,William Ivey Long,https://en.wikipedia.org/wiki/William_Ivey_Long,Don't Dress for Dinner,https://en.wikipedia.org/wiki/Don%27t_Dress_for_Dinner
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Ann Roth,https://en.wikipedia.org/wiki/Ann_Roth,The Nance,https://en.wikipedia.org/wiki/The_Nance
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Soutra Gilmour,https://en.wikipedia.org/wiki/Soutra_Gilmour,Cyrano de Bergerac,https://en.wikipedia.org/wiki/Cyrano_de_Bergerac_(play)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Albert Wolsky,https://en.wikipedia.org/wiki/Albert_Wolsky,The Heiress,https://en.wikipedia.org/wiki/The_Heiress_(1947_play)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Catherine Zuber,https://en.wikipedia.org/wiki/Catherine_Zuber,Golden Boy,https://en.wikipedia.org/wiki/Golden_Boy_(play)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Michael Krass,,Machinal,https://en.wikipedia.org/wiki/Machinal
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Rita Ryack,https://en.wikipedia.org/wiki/Rita_Ryack,Casa Valentina,https://en.wikipedia.org/wiki/Casa_Valentina
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Jenny Tiramani,https://en.wikipedia.org/wiki/Jenny_Tiramani,Twelfth Night,https://en.wikipedia.org/wiki/Twelfth_Night
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,Act One,https://en.wikipedia.org/wiki/Act_One_(play)
