year,season,season_link,winner,musical,musical_link,book,book_link,music,music_link,lyrics,lyrics_link
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Candide,https://en.wikipedia.org/wiki/Candide_(operetta),Lillian Hellman,https://en.wikipedia.org/wiki/Lillian_Hellman,Leonard Bernstein,https://en.wikipedia.org/wiki/Leonard_Bernstein,Richard Wilbur,https://en.wikipedia.org/wiki/Richard_Wilbur
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,The Most Happy Fella,https://en.wikipedia.org/wiki/The_Most_Happy_Fella,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Jamaica,https://en.wikipedia.org/wiki/Jamaica_(musical),Yip Harburg&Fred Saidy,https://en.wikipedia.org/wiki/Yip_Harburg,Harold Arlen,https://en.wikipedia.org/wiki/Harold_Arlen,Harburg,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,"Oh, Captain!","https://en.wikipedia.org/wiki/Oh,_Captain!",José Ferrer&Al Morgan,https://en.wikipedia.org/wiki/Jos%C3%A9_Ferrer,Ray Evans&Jay Livingston,https://en.wikipedia.org/wiki/Ray_Evans,Ray Evans&Jay Livingston,https://en.wikipedia.org/wiki/Ray_Evans
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,New Girl in Town,https://en.wikipedia.org/wiki/New_Girl_in_Town,George Abbott,https://en.wikipedia.org/wiki/George_Abbott,Bob Merrill,https://en.wikipedia.org/wiki/Bob_Merrill,Bob Merrill,https://en.wikipedia.org/wiki/Bob_Merrill
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,West Side Story,https://en.wikipedia.org/wiki/West_Side_Story,Arthur Laurents,https://en.wikipedia.org/wiki/Arthur_Laurents,Leonard Bernstein,https://en.wikipedia.org/wiki/Leonard_Bernstein,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1958,12th Tony Awards,/wiki/12th_Tony_Awards,True,The Music Man,https://en.wikipedia.org/wiki/The_Music_Man,Franklin Lacey&Meredith Willson,https://en.wikipedia.org/wiki/Franklin_Lacey,Willson,,Willson,
1959,13th Tony Awards,/wiki/13th_Tony_Awards,True,Redhead,https://en.wikipedia.org/wiki/Redhead_(musical),"Dorothy,Herbert Fields, David Shaw &Sidney Sheldon",https://en.wikipedia.org/wiki/Dorothy_Fields,Albert Hague,https://en.wikipedia.org/wiki/Albert_Hague,D. Fields,
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,Flower Drum Song,https://en.wikipedia.org/wiki/Flower_Drum_Song,Joseph Fields&Oscar Hammerstein II,https://en.wikipedia.org/wiki/Joseph_Fields,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Hammerstein,
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,La Plume de Ma Tante,https://en.wikipedia.org/wiki/La_Plume_de_Ma_Tante,Robert Dhéry,https://en.wikipedia.org/wiki/Robert_Dh%C3%A9ry,Gérard Calvi,https://en.wikipedia.org/wiki/G%C3%A9rard_Calvi,Ross Parker,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,The Sound of Music,https://en.wikipedia.org/wiki/The_Sound_of_Music,Russel Crouse&Howard Lindsay,https://en.wikipedia.org/wiki/Russel_Crouse,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Oscar Hammerstein II,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,Fiorello!†,https://en.wikipedia.org/wiki/Fiorello!,George Abbott&Jerome Weidman,https://en.wikipedia.org/wiki/George_Abbott,Jerry Bock,https://en.wikipedia.org/wiki/Jerry_Bock,Sheldon Harnick,https://en.wikipedia.org/wiki/Sheldon_Harnick
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical),Arthur Laurents,https://en.wikipedia.org/wiki/Arthur_Laurents,Jule Styne,https://en.wikipedia.org/wiki/Jule_Styne,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Once Upon a Mattress,https://en.wikipedia.org/wiki/Once_Upon_a_Mattress,"Marshall Barer, Dean Fuller &Jay Thompson",https://en.wikipedia.org/wiki/Marshall_Barer,Mary Rodgers,https://en.wikipedia.org/wiki/Mary_Rodgers,Barer,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Take Me Along,https://en.wikipedia.org/wiki/Take_Me_Along,Bob Russell&Joseph Stein,https://en.wikipedia.org/wiki/Bob_Russell_(songwriter),Bob Merrill,https://en.wikipedia.org/wiki/Bob_Merrill,Bob Merrill,https://en.wikipedia.org/wiki/Bob_Merrill
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,Bye Bye Birdie,https://en.wikipedia.org/wiki/Bye_Bye_Birdie,Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright),Charles Strouse,https://en.wikipedia.org/wiki/Charles_Strouse,Lee Adams,https://en.wikipedia.org/wiki/Lee_Adams
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Do Re Mi,https://en.wikipedia.org/wiki/Do_Re_Mi_(musical),Garson Kanin,https://en.wikipedia.org/wiki/Garson_Kanin,Jule Styne,https://en.wikipedia.org/wiki/Jule_Styne,Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Irma La Douce,https://en.wikipedia.org/wiki/Irma_La_Douce_(musical),"Alexandre Breffort,David Heneker, Julian More &Monty Norman",https://en.wikipedia.org/wiki/Alexandre_Breffort,Marguerite Monnot,https://en.wikipedia.org/wiki/Marguerite_Monnot,"Breffort, Heneker, More & Norman",
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,No Strings,https://en.wikipedia.org/wiki/No_Strings,Samuel A. Taylor,https://en.wikipedia.org/wiki/Samuel_A._Taylor,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Milk and Honey,https://en.wikipedia.org/wiki/Milk_and_Honey_(musical),Don Appell,,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Carnival!,https://en.wikipedia.org/wiki/Carnival!,Helen Deutsch&Michael Stewart,https://en.wikipedia.org/wiki/Helen_Deutsch,Bob Merrill,https://en.wikipedia.org/wiki/Bob_Merrill,Bob Merrill,https://en.wikipedia.org/wiki/Bob_Merrill
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,How to Succeed in Business Without Really Trying†,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical),"Abe Burrows,Willie Gilbert&Jack Weinstock",https://en.wikipedia.org/wiki/Abe_Burrows,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,A Funny Thing Happened on the Way to the Forum,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum,Larry Gelbart&Burt Shevelove,https://en.wikipedia.org/wiki/Larry_Gelbart,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Little Me,https://en.wikipedia.org/wiki/Little_Me_(musical),Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon,Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Carolyn Leigh,https://en.wikipedia.org/wiki/Carolyn_Leigh
