year,season,season_link,winner,production,production_link,book,book_link,music,music_link,lyrics,lyrics_link
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,"Ah, Wilderness!","https://en.wikipedia.org/wiki/Ah,_Wilderness!",Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill,,,,
1990,44th Tony Awards,/wiki/44th_Tony_Awards,True,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical),Arthur Laurents,https://en.wikipedia.org/wiki/Arthur_Laurents,Jule Styne,https://en.wikipedia.org/wiki/Jule_Styne,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Sweeney Todd,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,Hugh Wheeler,https://en.wikipedia.org/wiki/Hugh_Wheeler,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,The Circle,,W. Somerset Maugham,https://en.wikipedia.org/wiki/W._Somerset_Maugham,,,,
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,The Merchant of Venice,https://en.wikipedia.org/wiki/The_Merchant_of_Venice,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare,,,,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,The Miser,https://en.wikipedia.org/wiki/The_Miser,Molière,https://en.wikipedia.org/wiki/Moli%C3%A8re,,,,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Peter Pan,https://en.wikipedia.org/wiki/Peter_Pan_(1954_musical),J. M. Barrie,https://en.wikipedia.org/wiki/J._M._Barrie,Mark CharlapandJule Styne,https://en.wikipedia.org/wiki/Mark_Charlap,"Betty Comden,Adolph GreenandCarolyn Leigh",https://en.wikipedia.org/wiki/Betty_Comden
1991,45th Tony Awards,/wiki/45th_Tony_Awards,True,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,Joseph Stein,https://en.wikipedia.org/wiki/Joseph_Stein,Jerry Bock,https://en.wikipedia.org/wiki/Jerry_Bock,Sheldon Harnick,https://en.wikipedia.org/wiki/Sheldon_Harnick
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,Guys and Dolls,https://en.wikipedia.org/wiki/Guys_and_Dolls,Abe BurrowsandJo Swerling,https://en.wikipedia.org/wiki/Abe_Burrows,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,The Most Happy Fella,https://en.wikipedia.org/wiki/The_Most_Happy_Fella,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,On Borrowed Time,https://en.wikipedia.org/wiki/On_Borrowed_Time,Paul Osborn,https://en.wikipedia.org/wiki/Paul_Osborn,,,,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,The Visit,https://en.wikipedia.org/wiki/The_Visit_(play),Friedrich Dürrenmatt,https://en.wikipedia.org/wiki/Friedrich_D%C3%BCrrenmatt,,,,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,The Price,https://en.wikipedia.org/wiki/The_Price_(play),Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller,,,,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,Anna Christie,https://en.wikipedia.org/wiki/Anna_Christie,Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill,,,,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Saint Joan,https://en.wikipedia.org/wiki/Saint_Joan_(play),George Bernard Shaw,https://en.wikipedia.org/wiki/George_Bernard_Shaw,,,,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,"Wilder, Wilder, Wilder",,Thornton Wilder,https://en.wikipedia.org/wiki/Thornton_Wilder,,,,
