year,season,season_link,winner,orchestrator,orchestrator_link,production,production_link
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,"Bruce Coughlin,Adam Guettel&Ted Sperling",https://en.wikipedia.org/wiki/Bruce_Coughlin,The Light in the Piazza,https://en.wikipedia.org/wiki/The_Light_in_the_Piazza_(musical)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Larry Hochman,https://en.wikipedia.org/wiki/Larry_Hochman,Monty Python's Spamalot,https://en.wikipedia.org/wiki/Spamalot
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Jonathan Tunick,https://en.wikipedia.org/wiki/Jonathan_Tunick,Pacific Overtures,https://en.wikipedia.org/wiki/Pacific_Overtures
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Harold Wheeler,https://en.wikipedia.org/wiki/Harold_Wheeler_(musician),Dirty Rotten Scoundrels,https://en.wikipedia.org/wiki/Dirty_Rotten_Scoundrels_(musical)
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Dick Lieb &Danny Troob,https://en.wikipedia.org/wiki/Danny_Troob,The Pajama Game,https://en.wikipedia.org/wiki/The_Pajama_Game
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Steve Orich,https://en.wikipedia.org/wiki/Steve_Orich,Jersey Boys,https://en.wikipedia.org/wiki/Jersey_Boys
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Larry Blank,https://en.wikipedia.org/wiki/Larry_Blank,The Drowsy Chaperone,https://en.wikipedia.org/wiki/The_Drowsy_Chaperone
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,Sarah Travis,https://en.wikipedia.org/wiki/Sarah_Travis,Sweeney Todd: The Demon Barber of Fleet Street,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,Duncan Sheik,https://en.wikipedia.org/wiki/Duncan_Sheik,Spring Awakening,https://en.wikipedia.org/wiki/Spring_Awakening_(musical)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Bruce Coughlin,https://en.wikipedia.org/wiki/Bruce_Coughlin,Grey Gardens,https://en.wikipedia.org/wiki/Grey_Gardens_(musical)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Jonathan Tunick,https://en.wikipedia.org/wiki/Jonathan_Tunick,LoveMusik,https://en.wikipedia.org/wiki/LoveMusik
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Jonathan Tunick,https://en.wikipedia.org/wiki/Jonathan_Tunick,110 in the Shade,https://en.wikipedia.org/wiki/110_in_the_Shade
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Alex Lacamoire&Bill Sherman,https://en.wikipedia.org/wiki/Alex_Lacamoire,In the Heights,https://en.wikipedia.org/wiki/In_the_Heights
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Jason Carr,,Sunday in the Park with George,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Heidi Rodewald &Stew,https://en.wikipedia.org/wiki/Stew_(musician),Passing Strange,https://en.wikipedia.org/wiki/Passing_Strange_(musical)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Jonathan Tunick,https://en.wikipedia.org/wiki/Jonathan_Tunick,A Catered Affair,https://en.wikipedia.org/wiki/A_Catered_Affair
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,John Clancy &Danny Troob,https://en.wikipedia.org/wiki/Danny_Troob,Shrek the Musical,https://en.wikipedia.org/wiki/Shrek_the_Musical
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Larry Blank,https://en.wikipedia.org/wiki/Larry_Blank,White Christmas,https://en.wikipedia.org/wiki/White_Christmas_(musical)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Martin Koch,https://en.wikipedia.org/wiki/Martin_Koch_(orchestrator),Billy Elliot the Musical,https://en.wikipedia.org/wiki/Billy_Elliot_the_Musical
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Tom Kitt&Michael Starobin,https://en.wikipedia.org/wiki/Tom_Kitt_(musician),Next to Normal,https://en.wikipedia.org/wiki/Next_to_Normal
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,David Bryan& Daryl Waters,https://en.wikipedia.org/wiki/David_Bryan,Memphis,https://en.wikipedia.org/wiki/Memphis_(musical)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Jason Carr,,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Aaron Johnson,https://en.wikipedia.org/wiki/Aaron_Johnson_(musician),Fela!,https://en.wikipedia.org/wiki/Fela!
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Jonathan Tunick,https://en.wikipedia.org/wiki/Jonathan_Tunick,"Promises, Promises","https://en.wikipedia.org/wiki/Promises,_Promises_(musical)"
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,Larry Hochman&Stephen Oremus,https://en.wikipedia.org/wiki/Larry_Hochman,The Book of Mormon,https://en.wikipedia.org/wiki/The_Book_of_Mormon_(musical)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Doug Besterman,https://en.wikipedia.org/wiki/Doug_Besterman,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Larry Blank&Marc Shaiman,https://en.wikipedia.org/wiki/Larry_Blank,Catch Me If You Can,https://en.wikipedia.org/wiki/Catch_Me_If_You_Can_(musical)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Larry Hochman,,The Scottsboro Boys,https://en.wikipedia.org/wiki/The_Scottsboro_Boys_(musical)
