year,season,season_link,winner,actor,actor_link,role,play,play_link,ref,ref_link,role_link
1960,1960,/wiki/14th_Tony_Awards,False,Rip Torn,https://en.wikipedia.org/wiki/Rip_Torn,Tom Junior,Sweet Bird of Youth,https://en.wikipedia.org/wiki/Sweet_Bird_of_Youth,[16],https://en.wikipedia.org#cite_note-1960_Awards-17,
1961,1961,/wiki/15th_Tony_Awards,False,Eduardo Ciannelli,https://en.wikipedia.org/wiki/Eduardo_Ciannelli,Aurelio,The Devil's Advocate,,[17],https://en.wikipedia.org#cite_note-1961_Awards-18,
1961,1961,/wiki/15th_Tony_Awards,False,George Grizzard,https://en.wikipedia.org/wiki/George_Grizzard,Ronnie Johnson,"Big Fish, Little Fish","https://en.wikipedia.org/wiki/Big_Fish,_Little_Fish_(play)",[17],https://en.wikipedia.org#cite_note-1961_Awards-18,
1961,1961,/wiki/15th_Tony_Awards,True,Martin Gabel,https://en.wikipedia.org/wiki/Martin_Gabel,Basil Smythe,"Big Fish, Little Fish","https://en.wikipedia.org/wiki/Big_Fish,_Little_Fish_(play)",[17],https://en.wikipedia.org#cite_note-1961_Awards-18,
1961,1961,/wiki/15th_Tony_Awards,False,Philip Bosco,https://en.wikipedia.org/wiki/Philip_Bosco,Heracles,The Rape of the Belt,,[17],https://en.wikipedia.org#cite_note-1961_Awards-18,https://en.wikipedia.org/wiki/Heracles
1962,1962,/wiki/16th_Tony_Awards,True,Walter Matthau,https://en.wikipedia.org/wiki/Walter_Matthau,Benjamin Beaurevers,A Shot in the Dark,https://en.wikipedia.org/wiki/A_Shot_in_the_Dark_(1964_film),[18],https://en.wikipedia.org#cite_note-1962_Awards-19,
1962,1962,/wiki/16th_Tony_Awards,False,Godfrey Cambridge,https://en.wikipedia.org/wiki/Godfrey_Cambridge,Gitlow Judson,Purlie Victorious,,[18],https://en.wikipedia.org#cite_note-1962_Awards-19,
1962,1962,/wiki/16th_Tony_Awards,False,Joseph Campanella,https://en.wikipedia.org/wiki/Joseph_Campanella,Daniel Stein,A Gift of Time,,[18],https://en.wikipedia.org#cite_note-1962_Awards-19,
1962,1962,/wiki/16th_Tony_Awards,False,Paul Sparer,https://en.wikipedia.org/wiki/Paul_Sparer,Auda Abu Tayi,Ross,https://en.wikipedia.org/wiki/Ross_(play),[18],https://en.wikipedia.org#cite_note-1962_Awards-19,
1963,1963,/wiki/17th_Tony_Awards,False,Paul Rogers,https://en.wikipedia.org/wiki/Paul_Rogers_(actor),"Reginald Kinsale, Esq.",Photo Finish,,[19],https://en.wikipedia.org#cite_note-1963_Awards-20,
