year,season,season_link,winner,actor,actor_link,role,play,play_link,ref,ref_link,role_link
1980,1980,/wiki/34th_Tony_Awards,False,George Hearn,https://en.wikipedia.org/wiki/George_Hearn,Kurt Muller,Watch on the Rhine,https://en.wikipedia.org/wiki/Watch_on_the_Rhine,[37],https://en.wikipedia.org#cite_note-1980_Awards-39,
1981,1981,/wiki/35th_Tony_Awards,True,Brian Backer,https://en.wikipedia.org/wiki/Brian_Backer,Paul Pollack,The Floating Light Bulb,https://en.wikipedia.org/wiki/The_Floating_Light_Bulb,[38],https://en.wikipedia.org#cite_note-1981_Awards-40,
1981,1981,/wiki/35th_Tony_Awards,False,Tom Aldredge,https://en.wikipedia.org/wiki/Tom_Aldredge,Horace Giddens,The Little Foxes,https://en.wikipedia.org/wiki/The_Little_Foxes,[38],https://en.wikipedia.org#cite_note-1981_Awards-40,
1981,1981,/wiki/35th_Tony_Awards,False,Adam Redfield,,Desmond,A Life,https://en.wikipedia.org/wiki/A_Life_(play),[38],https://en.wikipedia.org#cite_note-1981_Awards-40,
1981,1981,/wiki/35th_Tony_Awards,False,Shepperd Strudwick,https://en.wikipedia.org/wiki/Shepperd_Strudwick,Jared,To Grandmother's House We Go,,[38],https://en.wikipedia.org#cite_note-1981_Awards-40,
1982,1982,/wiki/36th_Tony_Awards,True,Zakes Mokae,https://en.wikipedia.org/wiki/Zakes_Mokae,Sam,Master Harold...and the Boys,https://en.wikipedia.org/wiki/Master_Harold...and_the_Boys,[39],https://en.wikipedia.org#cite_note-1982_Awards-41,
1982,1982,/wiki/36th_Tony_Awards,False,Richard Kavanaugh,,Gibbs,The Hothouse,https://en.wikipedia.org/wiki/The_Hothouse,[39],https://en.wikipedia.org#cite_note-1982_Awards-41,
1982,1982,/wiki/36th_Tony_Awards,False,Edward Petherbridge,https://en.wikipedia.org/wiki/Edward_Petherbridge,Newman Noggs,The Life and Adventures of Nicholas Nickleby,https://en.wikipedia.org/wiki/The_Life_and_Adventures_of_Nicholas_Nickleby_(play),[39],https://en.wikipedia.org#cite_note-1982_Awards-41,
1982,1982,/wiki/36th_Tony_Awards,False,David Threlfall,https://en.wikipedia.org/wiki/David_Threlfall,Smike,The Life and Adventures of Nicholas Nickleby,,[39],https://en.wikipedia.org#cite_note-1982_Awards-41,
1983,1983,/wiki/37th_Tony_Awards,True,Matthew Broderick,https://en.wikipedia.org/wiki/Matthew_Broderick,Eugene Jerome,Brighton Beach Memoirs,https://en.wikipedia.org/wiki/Brighton_Beach_Memoirs,[40],https://en.wikipedia.org#cite_note-1983_Awards-42,
1983,1983,/wiki/37th_Tony_Awards,False,Željko Ivanek,https://en.wikipedia.org/wiki/%C5%BDeljko_Ivanek,Stanley Jerome,Brighton Beach Memoirs,,[40],https://en.wikipedia.org#cite_note-1983_Awards-42,
1983,1983,/wiki/37th_Tony_Awards,False,George N. Martin,,Leonard Darwin,Plenty,https://en.wikipedia.org/wiki/Plenty_(play),[40],https://en.wikipedia.org#cite_note-1983_Awards-42,
1983,1983,/wiki/37th_Tony_Awards,False,Stephen Moore,https://en.wikipedia.org/wiki/Stephen_Moore_(actor),Captain Parolles,All's Well That Ends Well,https://en.wikipedia.org/wiki/All%27s_Well_That_Ends_Well,[40],https://en.wikipedia.org#cite_note-1983_Awards-42,
1984,1984,/wiki/38th_Tony_Awards,False,Douglas Seale,https://en.wikipedia.org/wiki/Douglas_Seale,Selsdon Mowbray,Noises Off,https://en.wikipedia.org/wiki/Noises_Off,[41],https://en.wikipedia.org#cite_note-1984_Awards-43,
1984,1984,/wiki/38th_Tony_Awards,False,Robert Prosky,https://en.wikipedia.org/wiki/Robert_Prosky,Shelly Levene,Glengarry Glen Ross,,[41],https://en.wikipedia.org#cite_note-1984_Awards-43,
1984,1984,/wiki/38th_Tony_Awards,False,Philip Bosco,https://en.wikipedia.org/wiki/Philip_Bosco,Boss Mangan,Heartbreak House,https://en.wikipedia.org/wiki/Heartbreak_House,[41],https://en.wikipedia.org#cite_note-1984_Awards-43,
1984,1984,/wiki/38th_Tony_Awards,True,Joe Mantegna,https://en.wikipedia.org/wiki/Joe_Mantegna,Richard Roma,Glengarry Glen Ross,https://en.wikipedia.org/wiki/Glengarry_Glen_Ross,[41],https://en.wikipedia.org#cite_note-1984_Awards-43,https://en.wikipedia.org/wiki/Richard_Roma
1985,1985,/wiki/39th_Tony_Awards,True,Barry Miller,https://en.wikipedia.org/wiki/Barry_Miller_(actor),Arnold Epstein,Biloxi Blues,https://en.wikipedia.org/wiki/Biloxi_Blues,[42],https://en.wikipedia.org#cite_note-1985_Awards-44,
1985,1985,/wiki/39th_Tony_Awards,False,Charles S. Dutton,https://en.wikipedia.org/wiki/Charles_S._Dutton,Levee,Ma Rainey's Black Bottom,https://en.wikipedia.org/wiki/Ma_Rainey%27s_Black_Bottom,[42],https://en.wikipedia.org#cite_note-1985_Awards-44,
1985,1985,/wiki/39th_Tony_Awards,False,William Hurt,https://en.wikipedia.org/wiki/William_Hurt,Eddie,Hurlyburly,https://en.wikipedia.org/wiki/Hurlyburly,[42],https://en.wikipedia.org#cite_note-1985_Awards-44,
1985,1985,/wiki/39th_Tony_Awards,False,Edward Petherbridge,https://en.wikipedia.org/wiki/Edward_Petherbridge,Charles Marsden,Strange Interlude,https://en.wikipedia.org/wiki/Strange_Interlude,[42],https://en.wikipedia.org#cite_note-1985_Awards-44,
1986,1986,/wiki/40th_Tony_Awards,True,John Mahoney,https://en.wikipedia.org/wiki/John_Mahoney,Artie Shaughnessy,The House of Blue Leaves,https://en.wikipedia.org/wiki/The_House_of_Blue_Leaves,[43],https://en.wikipedia.org#cite_note-1986_Awards-45,
1986,1986,/wiki/40th_Tony_Awards,False,Peter Gallagher,https://en.wikipedia.org/wiki/Peter_Gallagher,Edmund Tyrone,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night,[43],https://en.wikipedia.org#cite_note-1986_Awards-45,
1986,1986,/wiki/40th_Tony_Awards,False,Charles Keating,https://en.wikipedia.org/wiki/Charles_Keating_(actor),McLeavy,Loot,https://en.wikipedia.org/wiki/Loot_(play),[43],https://en.wikipedia.org#cite_note-1986_Awards-45,
1986,1986,/wiki/40th_Tony_Awards,False,Joseph Maher,https://en.wikipedia.org/wiki/Joseph_Maher,Truscott,Loot,,[43],https://en.wikipedia.org#cite_note-1986_Awards-45,
1987,1987,/wiki/41st_Tony_Awards,True,John Randolph,https://en.wikipedia.org/wiki/John_Randolph_(actor),Ben,Broadway Bound,https://en.wikipedia.org/wiki/Broadway_Bound,[44],https://en.wikipedia.org#cite_note-1987_Awards-46,
1987,1987,/wiki/41st_Tony_Awards,False,Frankie R. Faison,https://en.wikipedia.org/wiki/Frankie_R._Faison,Gabriel Maxson,Fences,https://en.wikipedia.org/wiki/Fences_(play),[44],https://en.wikipedia.org#cite_note-1987_Awards-46,
1987,1987,/wiki/41st_Tony_Awards,False,Jamey Sheridan,https://en.wikipedia.org/wiki/Jamey_Sheridan,Chris Keller,All My Sons,https://en.wikipedia.org/wiki/All_My_Sons,[44],https://en.wikipedia.org#cite_note-1987_Awards-46,
1987,1987,/wiki/41st_Tony_Awards,False,Courtney B. Vance,https://en.wikipedia.org/wiki/Courtney_B._Vance,Cory Maxson,Fences,,[44],https://en.wikipedia.org#cite_note-1987_Awards-46,
1988,1988,/wiki/42nd_Tony_Awards,False,Michael Gough,https://en.wikipedia.org/wiki/Michael_Gough,Dillwyn Knox,Breaking the Code,https://en.wikipedia.org/wiki/Breaking_the_Code,[45],https://en.wikipedia.org#cite_note-1988_Awards-47,
1988,1988,/wiki/42nd_Tony_Awards,False,Lou Liberatore,https://en.wikipedia.org/wiki/Lou_Liberatore,Larry,Burn This,https://en.wikipedia.org/wiki/Burn_This,[45],https://en.wikipedia.org#cite_note-1988_Awards-47,
1988,1988,/wiki/42nd_Tony_Awards,True,BD Wong,https://en.wikipedia.org/wiki/BD_Wong,Song Liling,M. Butterfly,https://en.wikipedia.org/wiki/M._Butterfly,[45],https://en.wikipedia.org#cite_note-1988_Awards-47,
1988,1988,/wiki/42nd_Tony_Awards,False,Delroy Lindo,https://en.wikipedia.org/wiki/Delroy_Lindo,Herald Loomis,Joe Turner's Come and Gone,https://en.wikipedia.org/wiki/Joe_Turner%27s_Come_and_Gone,[45],https://en.wikipedia.org#cite_note-1988_Awards-47,
1989,1989,/wiki/43rd_Tony_Awards,False,Gordon Joseph Weiss,,The Dummy,Ghetto,https://en.wikipedia.org/wiki/Ghetto_(play),[46],https://en.wikipedia.org#cite_note-1989_Awards-48,
1989,1989,/wiki/43rd_Tony_Awards,False,Eric Stoltz,https://en.wikipedia.org/wiki/Eric_Stoltz,George Gibbs,Our Town,https://en.wikipedia.org/wiki/Our_Town,[46],https://en.wikipedia.org#cite_note-1989_Awards-48,
1989,1989,/wiki/43rd_Tony_Awards,False,Peter Frechette,https://en.wikipedia.org/wiki/Peter_Frechette,Drew,Eastern Standard,https://en.wikipedia.org/wiki/Eastern_Standard,[46],https://en.wikipedia.org#cite_note-1989_Awards-48,
1989,1989,/wiki/43rd_Tony_Awards,True,Boyd Gaines,https://en.wikipedia.org/wiki/Boyd_Gaines,Peter Patrone,The Heidi Chronicles,https://en.wikipedia.org/wiki/The_Heidi_Chronicles,[46],https://en.wikipedia.org#cite_note-1989_Awards-48,
1990,1990,/wiki/44th_Tony_Awards,True,Charles Durning,https://en.wikipedia.org/wiki/Charles_Durning,Big Daddy,Cat on a Hot Tin Roof,https://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof,[47],https://en.wikipedia.org#cite_note-1990_Awards-49,
1990,1990,/wiki/44th_Tony_Awards,False,Rocky Carroll,https://en.wikipedia.org/wiki/Rocky_Carroll,Lymon,The Piano Lesson,https://en.wikipedia.org/wiki/The_Piano_Lesson,[47],https://en.wikipedia.org#cite_note-1990_Awards-49,
1990,1990,/wiki/44th_Tony_Awards,False,Terry Kinney,https://en.wikipedia.org/wiki/Terry_Kinney,Jim Casy,The Grapes of Wrath,https://en.wikipedia.org/wiki/The_Grapes_of_Wrath_(play),[47],https://en.wikipedia.org#cite_note-1990_Awards-49,
1990,1990,/wiki/44th_Tony_Awards,False,Gary Sinise,https://en.wikipedia.org/wiki/Gary_Sinise,Tom Joad,The Grapes of Wrath,,[47],https://en.wikipedia.org#cite_note-1990_Awards-49,
1991,1991,/wiki/45th_Tony_Awards,True,Kevin Spacey,https://en.wikipedia.org/wiki/Kevin_Spacey,"""Uncle"" Louie",Lost in Yonkers,https://en.wikipedia.org/wiki/Lost_in_Yonkers,[48],https://en.wikipedia.org#cite_note-1991_Awards-50,
1991,1991,/wiki/45th_Tony_Awards,False,Adam Arkin,https://en.wikipedia.org/wiki/Adam_Arkin,Gary Peter Lefkowitz,I Hate Hamlet,https://en.wikipedia.org/wiki/I_Hate_Hamlet,[48],https://en.wikipedia.org#cite_note-1991_Awards-50,
1991,1991,/wiki/45th_Tony_Awards,False,Dylan Baker,https://en.wikipedia.org/wiki/Dylan_Baker,Prince County,La Bête,https://en.wikipedia.org/wiki/La_B%C3%AAte_(play),[48],https://en.wikipedia.org#cite_note-1991_Awards-50,
1991,1991,/wiki/45th_Tony_Awards,False,Stephen Lang,https://en.wikipedia.org/wiki/Stephen_Lang_(actor),Lou,The Speed of Darkness,https://en.wikipedia.org/wiki/The_Speed_of_Darkness_(play),[48],https://en.wikipedia.org#cite_note-1991_Awards-50,
1992,1992,/wiki/46th_Tony_Awards,True,Laurence Fishburne,https://en.wikipedia.org/wiki/Laurence_Fishburne,Sterling,Two Trains Running,https://en.wikipedia.org/wiki/Two_Trains_Running,[49],https://en.wikipedia.org#cite_note-1992_Awards-51,
1992,1992,/wiki/46th_Tony_Awards,False,Roscoe Lee Browne,https://en.wikipedia.org/wiki/Roscoe_Lee_Browne,Holloway,Two Trains Running,,[49],https://en.wikipedia.org#cite_note-1992_Awards-51,
1992,1992,/wiki/46th_Tony_Awards,False,Željko Ivanek,https://en.wikipedia.org/wiki/%C5%BDeljko_Ivanek,John Ryder,Two Shakespearean Actors,,[49],https://en.wikipedia.org#cite_note-1992_Awards-51,
1992,1992,/wiki/46th_Tony_Awards,False,Tony Shalhoub,https://en.wikipedia.org/wiki/Tony_Shalhoub,Charlie,Conversations with My Father,https://en.wikipedia.org/wiki/Conversations_with_My_Father,[49],https://en.wikipedia.org#cite_note-1992_Awards-51,
1993,1993,/wiki/47th_Tony_Awards,False,Joe Mantello,https://en.wikipedia.org/wiki/Joe_Mantello,Louis Ironson,Angels in America: Millennium Approaches,,[50],https://en.wikipedia.org#cite_note-1993_Awards-52,
1993,1993,/wiki/47th_Tony_Awards,False,Zakes Mokae,https://en.wikipedia.org/wiki/Zakes_Mokae,"Rev. Zulu/Mr. X, Itshe",The Song of Jacob Zulu,https://en.wikipedia.org/wiki/The_Song_of_Jacob_Zulu,[50],https://en.wikipedia.org#cite_note-1993_Awards-52,
1993,1993,/wiki/47th_Tony_Awards,True,Stephen Spinella,https://en.wikipedia.org/wiki/Stephen_Spinella,"Prior Walter,et al.",Angels in America: Millennium Approaches,https://en.wikipedia.org/wiki/Angels_in_America:_Millennium_Approaches,[50],https://en.wikipedia.org#cite_note-1993_Awards-52,
1993,1993,/wiki/47th_Tony_Awards,False,Robert Sean Leonard,https://en.wikipedia.org/wiki/Robert_Sean_Leonard,Eugene Marchbanks,Candida,https://en.wikipedia.org/wiki/Candida_(play),[50],https://en.wikipedia.org#cite_note-1993_Awards-52,
1994,1994,/wiki/48th_Tony_Awards,True,Jeffrey Wright,https://en.wikipedia.org/wiki/Jeffrey_Wright,Multiple characters[c],Angels in America: Perestroika,https://en.wikipedia.org/wiki/Angels_in_America:_Perestroika,,,https://en.wikipedia.org#cite_note-54
1994,1994,/wiki/48th_Tony_Awards,False,Larry Bryggman,https://en.wikipedia.org/wiki/Larry_Bryggman,Howard Bevans,Picnic,https://en.wikipedia.org/wiki/Picnic_(play),,,
1994,1994,/wiki/48th_Tony_Awards,False,David Marshall Grant,https://en.wikipedia.org/wiki/David_Marshall_Grant,Joe Pitt/Various Characters,Angels in America: Perestroika,,,,
1994,1994,/wiki/48th_Tony_Awards,False,Gregory Itzin,https://en.wikipedia.org/wiki/Gregory_Itzin,Various Characters,The Kentucky Cycle,https://en.wikipedia.org/wiki/The_Kentucky_Cycle,,,
1995,1995,/wiki/49th_Tony_Awards,False,Anthony Heald,https://en.wikipedia.org/wiki/Anthony_Heald,Perry Sellars,Love! Valour! Compassion!,,[52],https://en.wikipedia.org#cite_note-1995_Awards-55,
1995,1995,/wiki/49th_Tony_Awards,False,Jude Law,https://en.wikipedia.org/wiki/Jude_Law,Michael,Indiscretions,https://en.wikipedia.org/wiki/Les_Parents_terribles,[52],https://en.wikipedia.org#cite_note-1995_Awards-55,
1995,1995,/wiki/49th_Tony_Awards,True,John Glover,https://en.wikipedia.org/wiki/John_Glover_(actor),John and James Jeckyll,Love! Valour! Compassion!,https://en.wikipedia.org/wiki/Love!_Valour!_Compassion!,[52],https://en.wikipedia.org#cite_note-1995_Awards-55,
1995,1995,/wiki/49th_Tony_Awards,False,Stephen Bogardus,https://en.wikipedia.org/wiki/Stephen_Bogardus,Gregory Mitchell,Love! Valour! Compassion!,,[52],https://en.wikipedia.org#cite_note-1995_Awards-55,
1996,1996,/wiki/50th_Tony_Awards,True,Ruben Santiago-Hudson,https://en.wikipedia.org/wiki/Ruben_Santiago-Hudson,Canewell,Seven Guitars,https://en.wikipedia.org/wiki/Seven_Guitars,[53],https://en.wikipedia.org#cite_note-1996_Awards-56,
1996,1996,/wiki/50th_Tony_Awards,False,James Gammon,https://en.wikipedia.org/wiki/James_Gammon,Dodge,Buried Child,https://en.wikipedia.org/wiki/Buried_Child,[53],https://en.wikipedia.org#cite_note-1996_Awards-56,
1996,1996,/wiki/50th_Tony_Awards,False,Roger Robinson,https://en.wikipedia.org/wiki/Roger_Robinson_(actor),Hedley,Seven Guitars,,[53],https://en.wikipedia.org#cite_note-1996_Awards-56,
1996,1996,/wiki/50th_Tony_Awards,False,Reg Rogers,https://en.wikipedia.org/wiki/Reg_Rogers,Ned Seton,Holiday,https://en.wikipedia.org/wiki/Holiday_(play),[53],https://en.wikipedia.org#cite_note-1996_Awards-56,
1997,1997,/wiki/51st_Tony_Awards,False,Biff McGuire,https://en.wikipedia.org/wiki/Biff_McGuire,Pete Davenport,The Young Man From Atlanta,https://en.wikipedia.org/wiki/The_Young_Man_From_Atlanta,[54],https://en.wikipedia.org#cite_note-1997_Awards-57,
1997,1997,/wiki/51st_Tony_Awards,True,Owen Teale,https://en.wikipedia.org/wiki/Owen_Teale,Torvald Helmer,A Doll's House,https://en.wikipedia.org/wiki/A_Doll%27s_House,[54],https://en.wikipedia.org#cite_note-1997_Awards-57,
1997,1997,/wiki/51st_Tony_Awards,False,Terry Beaver,,Adolph,The Last Night of Ballyhoo,https://en.wikipedia.org/wiki/The_Last_Night_of_Ballyhoo,[54],https://en.wikipedia.org#cite_note-1997_Awards-57,
1997,1997,/wiki/51st_Tony_Awards,False,Brian Murray,https://en.wikipedia.org/wiki/Brian_Murray_(actor),Oscar,The Little Foxes,https://en.wikipedia.org/wiki/The_Little_Foxes,[54],https://en.wikipedia.org#cite_note-1997_Awards-57,
1998,1998,/wiki/52nd_Tony_Awards,False,Sam Trammell,https://en.wikipedia.org/wiki/Sam_Trammell,Richard Miller,"Ah, Wilderness!","https://en.wikipedia.org/wiki/Ah,_Wilderness!",[55],https://en.wikipedia.org#cite_note-1998_Awards-58,
1998,1998,/wiki/52nd_Tony_Awards,False,Max Wright,https://en.wikipedia.org/wiki/Max_Wright,Pavel Lebedev,Ivanov,https://en.wikipedia.org/wiki/Ivanov_(play),[55],https://en.wikipedia.org#cite_note-1998_Awards-58,
1998,1998,/wiki/52nd_Tony_Awards,True,Tom Murphy,https://en.wikipedia.org/wiki/Tom_Murphy_(actor),Ray Dooley,The Beauty Queen of Leenane,https://en.wikipedia.org/wiki/The_Beauty_Queen_of_Leenane,[55],https://en.wikipedia.org#cite_note-1998_Awards-58,
1998,1998,/wiki/52nd_Tony_Awards,False,Brían F. O'Byrne,https://en.wikipedia.org/wiki/Br%C3%ADan_F._O%27Byrne,Pato Dooley,The Beauty Queen of Leenane,,[55],https://en.wikipedia.org#cite_note-1998_Awards-58,
1999,1999,/wiki/53rd_Tony_Awards,True,Frank Wood,https://en.wikipedia.org/wiki/Frank_Wood_(actor),Gene,Side Man,https://en.wikipedia.org/wiki/Side_Man,[56],https://en.wikipedia.org#cite_note-1999_Awards-59,
1999,1999,/wiki/53rd_Tony_Awards,False,Kevin Anderson,https://en.wikipedia.org/wiki/Kevin_Anderson_(actor),Biff,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman,[56],https://en.wikipedia.org#cite_note-1999_Awards-59,
1999,1999,/wiki/53rd_Tony_Awards,False,Finbar Lynch,https://en.wikipedia.org/wiki/Finbar_Lynch,Jim Allison,Not About Nightingales,https://en.wikipedia.org/wiki/Not_About_Nightingales,[56],https://en.wikipedia.org#cite_note-1999_Awards-59,
1999,1999,/wiki/53rd_Tony_Awards,False,Howard Witt,https://en.wikipedia.org/wiki/Howard_Witt,Charley,Death of a Salesman,,[56],https://en.wikipedia.org#cite_note-1999_Awards-59,
2000,2000,/wiki/54th_Tony_Awards,True,Roy Dotrice,https://en.wikipedia.org/wiki/Roy_Dotrice,Phil Hogan,A Moon for the Misbegotten,https://en.wikipedia.org/wiki/A_Moon_for_the_Misbegotten,[57],https://en.wikipedia.org#cite_note-2000_Awards-60,
2000,2000,/wiki/54th_Tony_Awards,False,Kevin Chamberlin,https://en.wikipedia.org/wiki/Kevin_Chamberlin,Various Characters,Dirty Blonde,https://en.wikipedia.org/wiki/Dirty_Blonde_(play),[57],https://en.wikipedia.org#cite_note-2000_Awards-60,
2000,2000,/wiki/54th_Tony_Awards,False,Derek Smith,,Tartaglia,The Green Bird,https://en.wikipedia.org/wiki/The_Green_Bird,[57],https://en.wikipedia.org#cite_note-2000_Awards-60,
2000,2000,/wiki/54th_Tony_Awards,False,Bob Stillman,https://en.wikipedia.org/wiki/Bob_Stillman,Various Characters,Dirty Blonde,,[57],https://en.wikipedia.org#cite_note-2000_Awards-60,
2000,2000,/wiki/54th_Tony_Awards,False,Daniel Davis,https://en.wikipedia.org/wiki/Daniel_Davis,Maurice Montesor,Wrong Mountain,,[57],https://en.wikipedia.org#cite_note-2000_Awards-60,
2001,2001,/wiki/55th_Tony_Awards,True,Robert Sean Leonard,https://en.wikipedia.org/wiki/Robert_Sean_Leonard,"A. E. Housman, from ages 18 to 26",The Invention of Love,https://en.wikipedia.org/wiki/The_Invention_of_Love,[58],https://en.wikipedia.org#cite_note-2001_Awards-61,https://en.wikipedia.org/wiki/A._E._Housman
2001,2001,/wiki/55th_Tony_Awards,False,Charles Brown,https://en.wikipedia.org/wiki/Charles_Brown_(actor),Elmore,King Hedley II,https://en.wikipedia.org/wiki/King_Hedley_II,[58],https://en.wikipedia.org#cite_note-2001_Awards-61,
2001,2001,/wiki/55th_Tony_Awards,False,Larry Bryggman,https://en.wikipedia.org/wiki/Larry_Bryggman,Robert,Proof,https://en.wikipedia.org/wiki/Proof_(play),[58],https://en.wikipedia.org#cite_note-2001_Awards-61,
2001,2001,/wiki/55th_Tony_Awards,False,Michael Hayden,https://en.wikipedia.org/wiki/Michael_Hayden_(actor),Oscar Rolfe,Judgment at Nuremberg,https://en.wikipedia.org/wiki/Judgment_at_Nuremberg,[58],https://en.wikipedia.org#cite_note-2001_Awards-61,
2001,2001,/wiki/55th_Tony_Awards,False,Ben Shenkman,https://en.wikipedia.org/wiki/Ben_Shenkman,Hal,Proof,,[58],https://en.wikipedia.org#cite_note-2001_Awards-61,
2002,2002,/wiki/56th_Tony_Awards,False,Sam Robards,https://en.wikipedia.org/wiki/Sam_Robards,Gustav Eberson,The Man Who Had All the Luck,https://en.wikipedia.org/wiki/The_Man_Who_Had_All_the_Luck,[59],https://en.wikipedia.org#cite_note-2002_Awards-62,
2002,2002,/wiki/56th_Tony_Awards,False,Stephen Tobolowsky,https://en.wikipedia.org/wiki/Stephen_Tobolowsky,Homer Bolton,Morning's at Seven,,[59],https://en.wikipedia.org#cite_note-2002_Awards-62,
2002,2002,/wiki/56th_Tony_Awards,False,William Biff McGuire,https://en.wikipedia.org/wiki/Biff_McGuire,Theodore Swanson,Morning's at Seven,https://en.wikipedia.org/wiki/Morning%27s_at_Seven,[59],https://en.wikipedia.org#cite_note-2002_Awards-62,
2002,2002,/wiki/56th_Tony_Awards,True,Frank Langella,https://en.wikipedia.org/wiki/Frank_Langella,Flegont Alexandrovitch Tropatchov,Fortune's Fool,https://en.wikipedia.org/wiki/Fortune%27s_Fool,[59],https://en.wikipedia.org#cite_note-2002_Awards-62,
2002,2002,/wiki/56th_Tony_Awards,False,Brian Murray,https://en.wikipedia.org/wiki/Brian_Murray_(actor),Deputy-Governor Danforth,The Crucible,https://en.wikipedia.org/wiki/The_Crucible,[59],https://en.wikipedia.org#cite_note-2002_Awards-62,
2003,2003,/wiki/57th_Tony_Awards,True,Denis O'Hare,https://en.wikipedia.org/wiki/Denis_O%27Hare,Mason Marzak,Take Me Out,https://en.wikipedia.org/wiki/Take_Me_Out_(play),[60],https://en.wikipedia.org#cite_note-2003_Awards-63,
2003,2003,/wiki/57th_Tony_Awards,False,Thomas Jefferson Byrd,https://en.wikipedia.org/wiki/Thomas_Jefferson_Byrd,Toledo,Ma Rainey's Black Bottom,https://en.wikipedia.org/wiki/Ma_Rainey%27s_Black_Bottom,[60],https://en.wikipedia.org#cite_note-2003_Awards-63,
2003,2003,/wiki/57th_Tony_Awards,False,Philip Seymour Hoffman,https://en.wikipedia.org/wiki/Philip_Seymour_Hoffman,Jamie,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night,[60],https://en.wikipedia.org#cite_note-2003_Awards-63,
2003,2003,/wiki/57th_Tony_Awards,False,Robert Sean Leonard,https://en.wikipedia.org/wiki/Robert_Sean_Leonard,Edmund,Long Day's Journey into Night,,[60],https://en.wikipedia.org#cite_note-2003_Awards-63,
2003,2003,/wiki/57th_Tony_Awards,False,Daniel Sunjata,https://en.wikipedia.org/wiki/Daniel_Sunjata,Darren Lemming,Take Me Out,,[60],https://en.wikipedia.org#cite_note-2003_Awards-63,
2004,2004,/wiki/58th_Tony_Awards,False,Omar Metwally,https://en.wikipedia.org/wiki/Omar_Metwally,Mahmoud,Sixteen Wounded,,[61],https://en.wikipedia.org#cite_note-2004_Awards-64,
2004,2004,/wiki/58th_Tony_Awards,False,Aidan Gillen,https://en.wikipedia.org/wiki/Aidan_Gillen,Mick,The Caretaker,https://en.wikipedia.org/wiki/The_Caretaker,[61],https://en.wikipedia.org#cite_note-2004_Awards-64,
2004,2004,/wiki/58th_Tony_Awards,False,Ben Chaplin,https://en.wikipedia.org/wiki/Ben_Chaplin,Jamie,The Retreat from Moscow,https://en.wikipedia.org/wiki/The_Retreat_from_Moscow,[61],https://en.wikipedia.org#cite_note-2004_Awards-64,
2004,2004,/wiki/58th_Tony_Awards,True,Brían F. O'Byrne,https://en.wikipedia.org/wiki/Br%C3%ADan_F._O%27Byrne,Ralph,Frozen,https://en.wikipedia.org/wiki/Frozen_(play),[61],https://en.wikipedia.org#cite_note-2004_Awards-64,
2004,2004,/wiki/58th_Tony_Awards,False,Tom Aldredge,https://en.wikipedia.org/wiki/Tom_Aldredge,Matthew Clark,Twentieth Century,https://en.wikipedia.org/wiki/Twentieth_Century_(play),[61],https://en.wikipedia.org#cite_note-2004_Awards-64,
2005,2005,/wiki/59th_Tony_Awards,True,Liev Schreiber,https://en.wikipedia.org/wiki/Liev_Schreiber,Richard Roma,Glengarry Glen Ross,https://en.wikipedia.org/wiki/Glengarry_Glen_Ross,[62],https://en.wikipedia.org#cite_note-2005_Awards-65,https://en.wikipedia.org/wiki/Richard_Roma
2005,2005,/wiki/59th_Tony_Awards,False,Alan Alda,https://en.wikipedia.org/wiki/Alan_Alda,Shelly Levene,Glengarry Glen Ross,,[62],https://en.wikipedia.org#cite_note-2005_Awards-65,
2005,2005,/wiki/59th_Tony_Awards,False,Gordon Clapp,https://en.wikipedia.org/wiki/Gordon_Clapp,Moss,Glengarry Glen Ross,,[62],https://en.wikipedia.org#cite_note-2005_Awards-65,
2005,2005,/wiki/59th_Tony_Awards,False,David Harbour,https://en.wikipedia.org/wiki/David_Harbour,Nick,Edward Albee's Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F,[62],https://en.wikipedia.org#cite_note-2005_Awards-65,
2005,2005,/wiki/59th_Tony_Awards,False,Michael Stuhlbarg,https://en.wikipedia.org/wiki/Michael_Stuhlbarg,Michal,The Pillowman,https://en.wikipedia.org/wiki/The_Pillowman,[62],https://en.wikipedia.org#cite_note-2005_Awards-65,
2006,2006,/wiki/60th_Tony_Awards,False,Pablo Schreiber,https://en.wikipedia.org/wiki/Pablo_Schreiber,Ralph Berger,Awake and Sing!,,[63],https://en.wikipedia.org#cite_note-2006_Awards-66,
2006,2006,/wiki/60th_Tony_Awards,False,Mark Ruffalo,https://en.wikipedia.org/wiki/Mark_Ruffalo,Moe Axelrod,Awake and Sing!,https://en.wikipedia.org/wiki/Awake_and_Sing!,[63],https://en.wikipedia.org#cite_note-2006_Awards-66,
2006,2006,/wiki/60th_Tony_Awards,False,Domhnall Gleeson,https://en.wikipedia.org/wiki/Domhnall_Gleeson,Davey,The Lieutenant of Inishmore,https://en.wikipedia.org/wiki/The_Lieutenant_of_Inishmore,[63],https://en.wikipedia.org#cite_note-2006_Awards-66,
