year,season,season_link,winner,performer,performer_link,production,character,production_link
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,June Lockhart,https://en.wikipedia.org/wiki/June_Lockhart,For Love or Money,Janet Blake,
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,James Whitmore,https://en.wikipedia.org/wiki/James_Whitmore,Command Decision,Tech Sergeant Harold Evans,https://en.wikipedia.org/wiki/Command_Decision_(play)
