year,season,season_link,winner,designer,production,production_link,designer_link
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Oliver Smith,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",https://en.wikipedia.org/wiki/Oliver_Smith_(designer)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Raoul Penè Du Bois,The Student Gypsy,,https://en.wikipedia.org/wiki/Raoul_Pen%C3%A8_Du_Bois
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Ben Edwards,The Ballad of the Sad Cafe,https://en.wikipedia.org/wiki/The_Ballad_of_the_Sad_Cafe,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,David Hays,Marco Millions,,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Beni Montresor,Do I Hear a Waltz?,https://en.wikipedia.org/wiki/Do_I_Hear_a_Waltz%3F,https://en.wikipedia.org/wiki/Beni_Montresor
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Oliver Smith,"Baker Street,LuvandThe Odd Couple",https://en.wikipedia.org/wiki/Baker_Street_(musical),https://en.wikipedia.org/wiki/Oliver_Smith_(designer)
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Boris Aronson,Fiddler on the RoofandIncident at Vichy,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,https://en.wikipedia.org/wiki/Boris_Aronson
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Sean Kenny,The Roar of the Greasepaint – The Smell of the Crowd,https://en.wikipedia.org/wiki/The_Roar_of_the_Greasepaint_%E2%80%93_The_Smell_of_the_Crowd,https://en.wikipedia.org/wiki/Sean_Kenny_(theatre_designer)
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,David Hays,Drat! The Cat!,https://en.wikipedia.org/wiki/Drat!_The_Cat!,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Robert Randolph,"Anya,SkyscraperandSweet Charity",https://en.wikipedia.org/wiki/Anya_(musical),
1966,20th Tony Awards,/wiki/20th_Tony_Awards,True,Howard Bay,Man of La Mancha,https://en.wikipedia.org/wiki/Man_of_La_Mancha,https://en.wikipedia.org/wiki/Howard_Bay_(designer)
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,William and Jean Eckart,Mame,https://en.wikipedia.org/wiki/Mame_(musical),https://en.wikipedia.org/wiki/William_and_Jean_Eckart
1967,21st Tony Awards,/wiki/21st_Tony_Awards,True,Boris Aronson,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical),https://en.wikipedia.org/wiki/Boris_Aronson
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,John Bury,The Homecoming,https://en.wikipedia.org/wiki/The_Homecoming,https://en.wikipedia.org/wiki/John_Bury_(theatre_designer)
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Oliver Smith,I Do! I Do!,https://en.wikipedia.org/wiki/I_Do!_I_Do!,https://en.wikipedia.org/wiki/Oliver_Smith_(designer)
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Alan Tagg,Black Comedy,https://en.wikipedia.org/wiki/Black_Comedy,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,True,Desmond Heeley,Rosencrantz and Guildenstern Are Dead,https://en.wikipedia.org/wiki/Rosencrantz_and_Guildenstern_Are_Dead,https://en.wikipedia.org/wiki/Desmond_Heeley
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Boris Aronson,The Price,https://en.wikipedia.org/wiki/The_Price_(play),https://en.wikipedia.org/wiki/Boris_Aronson
