year,season,season_link,winner,designer,production,production_link,designer_link
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Tony Walton,The Will Rogers Follies,https://en.wikipedia.org/wiki/The_Will_Rogers_Follies,https://en.wikipedia.org/wiki/Tony_Walton
1991,45th Tony Awards,/wiki/45th_Tony_Awards,True,Heidi Landesman,The Secret Garden,https://en.wikipedia.org/wiki/The_Secret_Garden_(musical),https://en.wikipedia.org/wiki/Heidi_Landesman
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Richard Hudson,La Bête,https://en.wikipedia.org/wiki/La_B%C3%AAte_(play),https://en.wikipedia.org/wiki/Richard_Hudson_(stage_designer)
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Robert Wagner,Jelly's Last Jam,https://en.wikipedia.org/wiki/Jelly%27s_Last_Jam,https://en.wikipedia.org/wiki/Robin_Wagner_(designer)
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Joe Vaněk,Dancing at Lughnasa,https://en.wikipedia.org/wiki/Dancing_at_Lughnasa,https://en.wikipedia.org/wiki/Joe_Van%C4%9Bk
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,John Lee Beatty,A Small Family Business,https://en.wikipedia.org/wiki/A_Small_Family_Business,https://en.wikipedia.org/wiki/John_Lee_Beatty
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,Tony Walton,Guys and Dolls,https://en.wikipedia.org/wiki/Guys_and_Dolls_(musical),https://en.wikipedia.org/wiki/Tony_Walton
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,John Arnone,The Who's Tommy,https://en.wikipedia.org/wiki/The_Who%27s_Tommy,https://en.wikipedia.org/wiki/John_Arnone
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,John Lee Beatty,Redwood Curtain,https://en.wikipedia.org/wiki/Redwood_Curtain,https://en.wikipedia.org/wiki/John_Lee_Beatty
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Jerome Sirlin,Kiss of the Spiderwoman,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(musical),
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Robin Wagner,Angels in America: Millennium Approaches,https://en.wikipedia.org/wiki/Angels_in_America:_A_Gay_Fantasia_on_National_Themes,https://en.wikipedia.org/wiki/Robin_Wagner_(designer)
