year,season,season_link,winner,designer,designer_link,production,production_link
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,Christopher Oram,https://en.wikipedia.org/wiki/Christopher_Oram,Red,https://en.wikipedia.org/wiki/Red_(play)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,John Lee Beatty,https://en.wikipedia.org/wiki/John_Lee_Beatty,The Royal Family,https://en.wikipedia.org/wiki/The_Royal_Family_(play)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,Rae Smith,,War Horse,https://en.wikipedia.org/wiki/War_Horse_(play)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Todd Rosenthal,https://en.wikipedia.org/wiki/Todd_Rosenthal,The Motherfucker With the Hat,https://en.wikipedia.org/wiki/The_Motherfucker_With_the_Hat
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Ultz,https://en.wikipedia.org/wiki/Ultz,Jerusalem,https://en.wikipedia.org/wiki/Jerusalem_(play)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Mark Wendland,,The Merchant of Venice,https://en.wikipedia.org/wiki/The_Merchant_of_Venice
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Mark Thompson,,"One Man, Two Guvnors","https://en.wikipedia.org/wiki/One_Man,_Two_Guvnors"
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Daniel Ostling,,Clybourne Park,https://en.wikipedia.org/wiki/Clybourne_Park
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Donyale Werle,https://en.wikipedia.org/wiki/Donyale_Werle,Peter and the Starcatcher,https://en.wikipedia.org/wiki/Peter_and_the_Starcatcher
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,John Lee Beatty,https://en.wikipedia.org/wiki/John_Lee_Beatty,Other Desert Cities,https://en.wikipedia.org/wiki/Other_Desert_Cities
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,John Lee Beatty,https://en.wikipedia.org/wiki/John_Lee_Beatty,The Nance,https://en.wikipedia.org/wiki/The_Nance
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Santo Loquasto,https://en.wikipedia.org/wiki/Santo_Loquasto,The Assembled Parties,https://en.wikipedia.org/wiki/The_Assembled_Parties
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,David Rockwell,https://en.wikipedia.org/wiki/David_Rockwell,Lucky Guy,https://en.wikipedia.org/wiki/Lucky_Guy_(play)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Michael Yeargan,https://en.wikipedia.org/wiki/Michael_Yeargan,Golden Boy,https://en.wikipedia.org/wiki/Golden_Boy_(play)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Beowulf Boritt,https://en.wikipedia.org/wiki/Beowulf_Boritt,Act One,https://en.wikipedia.org/wiki/Act_One_(play)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Bob Crowley,https://en.wikipedia.org/wiki/Bob_Crowley,The Glass Menagerie,https://en.wikipedia.org/wiki/The_Glass_Menagerie
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Es Devlin,https://en.wikipedia.org/wiki/Es_Devlin,Machinal,https://en.wikipedia.org/wiki/Machinal
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Christopher Oram,https://en.wikipedia.org/wiki/Christopher_Oram,The Cripple of Inishmaan,https://en.wikipedia.org/wiki/The_Cripple_of_Inishmaan
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,Bunny ChristieandFinn Ross,https://en.wikipedia.org/wiki/Bunny_Christie,The Curious Incident of the Dog in the Night-Time,https://en.wikipedia.org/wiki/The_Curious_Incident_of_the_Dog_in_the_Night-Time_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Bob Crowley,https://en.wikipedia.org/wiki/Bob_Crowley,Skylight,https://en.wikipedia.org/wiki/Skylight_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Christopher Oram,https://en.wikipedia.org/wiki/Christopher_Oram,Wolf Hall Parts One & Two,https://en.wikipedia.org/wiki/Wolf_Hall_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,David Rockwell,https://en.wikipedia.org/wiki/David_Rockwell,You Can't Take It with You,https://en.wikipedia.org/wiki/You_Can%27t_Take_It_with_You_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Jan Versweyveld,https://en.wikipedia.org/wiki/Jan_Versweyveld,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Christopher Oram,https://en.wikipedia.org/wiki/Christopher_Oram,Hughie,https://en.wikipedia.org/wiki/Hughie
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,David Zinn,https://en.wikipedia.org/wiki/David_Zinn,The Humans,https://en.wikipedia.org/wiki/The_Humans_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Beowulf Boritt,,Thérèse Raquin,https://en.wikipedia.org/wiki/Th%C3%A9r%C3%A8se_Raquin
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Michael Yeargan,https://en.wikipedia.org/wiki/Michael_Yeargan,Oslo,https://en.wikipedia.org/wiki/Oslo_(play)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Douglas W. Schmidt,,The Front Page,https://en.wikipedia.org/wiki/The_Front_Page
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Nigel Hook,,The Play That Goes Wrong,https://en.wikipedia.org/wiki/The_Play_That_Goes_Wrong
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,David Gallo,https://en.wikipedia.org/wiki/David_Gallo,Jitney,https://en.wikipedia.org/wiki/Jitney_(play)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Christine Jones,https://en.wikipedia.org/wiki/Christine_Jones_(scenic_designer),Harry Potter and the Cursed Child,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Cursed_Child
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Miriam Buether,https://en.wikipedia.org/wiki/Miriam_Buether,Three Tall Women,https://en.wikipedia.org/wiki/Three_Tall_Women
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Jonathan Fensom,,Farinelli and the King,https://en.wikipedia.org/wiki/Farinelli_and_the_King
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Santo Loquasto,https://en.wikipedia.org/wiki/Santo_Loquasto,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh
