year,season,season_link,winner,designer,production,production_link,award type,designer_link
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Acme Sound Partners,Porgy and Bess,https://en.wikipedia.org/wiki/Porgy_and_Bess,Best Sound Design of a Musical,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Brian Ronan,Nice Work If You Can Get It,https://en.wikipedia.org/wiki/Nice_Work_If_You_Can_Get_It_(musical),Best Sound Design of a Musical,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Scott Lehrer,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman,Best Sound Design of a Play,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Paul Arditti,"'One Man, Two Guvnors","https://en.wikipedia.org/wiki/One_Man,_Two_Guvnors",Best Sound Design of a Play,https://en.wikipedia.org/wiki/Paul_Arditti
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Darron L. West,Peter and the Starcatcher,https://en.wikipedia.org/wiki/Peter_and_the_Starcatcher,Best Sound Design of a Play,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Clive Goodwin,Once,https://en.wikipedia.org/wiki/Once_(musical),Best Sound Design of a Musical,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Gareth Owen,End of the Rainbow,https://en.wikipedia.org/wiki/End_of_the_Rainbow,Best Sound Design of a Play,https://en.wikipedia.org/wiki/Gareth_Owen_(sound_designer)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,John Shivers,Kinky Boots,https://en.wikipedia.org/wiki/Kinky_Boots_(musical),Best Sound Design of a Musical,https://en.wikipedia.org/wiki/John_Shivers_(sound_designer)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Nevin Steinberg,Rodgers and Hammerstein's Cinderella,https://en.wikipedia.org/wiki/Cinderella_(2013_Broadway_production),Best Sound Design of a Musical,
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Peter Hylenski,Motown: The Musical,https://en.wikipedia.org/wiki/Motown:_The_Musical,Best Sound Design of a Musical,
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Leon Rothenb,The Nance,https://en.wikipedia.org/wiki/The_Nance,Best Sound Design of a Play,
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,John Gromada,The Trip to Bountiful,https://en.wikipedia.org/wiki/The_Trip_to_Bountiful_(play),Best Sound Design of a Play,https://en.wikipedia.org/wiki/John_Gromada
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Mel Mercier,The Testament of Mary,https://en.wikipedia.org/wiki/The_Testament_of_Mary_(play),Best Sound Design of a Play,
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Peter John Still and Marc Salzberg,Golden Boy,https://en.wikipedia.org/wiki/Golden_Boy_(play),Best Sound Design of a Play,
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Jonathan Deans and Garth Helm,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical),Best Sound Design of a Musical,
