year,season,season_link,actor,actor_link,role,role_link,production,production_link,winner
1973,27th tony awards,/wiki/27th_Tony_Awards,Leora Dana,https://en.wikipedia.org/wiki/Leora_Dana,Elizabeth Edwards,,The Last of Mrs. Lincoln,https://en.wikipedia.org/wiki/The_Last_of_Mrs._Lincoln,True
1974,28th tony awards,/wiki/28th_Tony_Awards,Regina Baff,https://en.wikipedia.org/wiki/Regina_Baff,Susan,,Veronica's Room,https://en.wikipedia.org/wiki/Veronica%27s_Room_(play),False
1974,28th tony awards,/wiki/28th_Tony_Awards,Fionnula Flanagan in Ulysses,,Various Characters,,Ulysses in Nighttown,https://en.wikipedia.org/wiki/Ulysses_in_Nighttown,False
1974,28th tony awards,/wiki/28th_Tony_Awards,Charlotte Moore,,Sophie,,Chemin de Fer,,False
1974,28th tony awards,/wiki/28th_Tony_Awards,Roxie Roker,https://en.wikipedia.org/wiki/Roxie_Roker,Mattie Williams,,The River Niger,https://en.wikipedia.org/wiki/The_River_Niger,False
1974,28th tony awards,/wiki/28th_Tony_Awards,Frances Sternhagen,https://en.wikipedia.org/wiki/Frances_Sternhagen,Multiple[c],https://en.wikipedia.org#cite_note-38,The Good Doctor,https://en.wikipedia.org/wiki/The_Good_Doctor_(play),True
1975,29th tony awards,/wiki/29th_Tony_Awards,Geraldine Page,https://en.wikipedia.org/wiki/Geraldine_Page,Marion,,Absurd Person Singular,https://en.wikipedia.org/wiki/Absurd_Person_Singular,False
1975,29th tony awards,/wiki/29th_Tony_Awards,Rita Moreno,https://en.wikipedia.org/wiki/Rita_Moreno,Googie Gomez,,The Ritz,https://en.wikipedia.org/wiki/The_Ritz_(play),True
1975,29th tony awards,/wiki/29th_Tony_Awards,Linda Miller,https://en.wikipedia.org/wiki/Linda_Miller_(actress),Jane,,Black Picture Show,,False
1975,29th tony awards,/wiki/29th_Tony_Awards,Frances Sternhagen,https://en.wikipedia.org/wiki/Frances_Sternhagen,Dora Strang,,Equus,https://en.wikipedia.org/wiki/Equus_(play),False
1975,29th tony awards,/wiki/29th_Tony_Awards,Elizabeth Spriggs,https://en.wikipedia.org/wiki/Elizabeth_Spriggs,Lady Gay Spanker,,London Assurance,https://en.wikipedia.org/wiki/London_Assurance,False
1975,29th tony awards,/wiki/29th_Tony_Awards,Carole Shelley,https://en.wikipedia.org/wiki/Carole_Shelley,Jane,,Absurd Person Singular,,False
1976,30th tony awards,/wiki/30th_Tony_Awards,Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,Flora Meighan,,27 Wagons Full of Cotton / A Memory of Two Mondays,,False
1976,30th tony awards,/wiki/30th_Tony_Awards,Lois Nettleton,https://en.wikipedia.org/wiki/Lois_Nettleton,Amy,,They Knew What They Wanted,https://en.wikipedia.org/wiki/They_Knew_What_They_Wanted_(play),False
1976,30th tony awards,/wiki/30th_Tony_Awards,Mary Beth Hurt,https://en.wikipedia.org/wiki/Mary_Beth_Hurt,Rose Trewlawny,,Trelawny of the 'Wells',https://en.wikipedia.org/wiki/Trelawny_of_the_%27Wells%27,False
1976,30th tony awards,/wiki/30th_Tony_Awards,Shirley Knight,https://en.wikipedia.org/wiki/Shirley_Knight,Carla,,Kennedy's Children,https://en.wikipedia.org/wiki/Kennedy%27s_Children,True
1977,31st tony awards,/wiki/31st_Tony_Awards,Mary McCarty,https://en.wikipedia.org/wiki/Mary_McCarty_(actress),Marthy Owen,,Anna Christie,https://en.wikipedia.org/wiki/Anna_Christie,False
1977,31st tony awards,/wiki/31st_Tony_Awards,Rose Gregorio,https://en.wikipedia.org/wiki/Rose_Gregorio,Agnes,,The Shadow Box,,False
1977,31st tony awards,/wiki/31st_Tony_Awards,Patricia Elliott,https://en.wikipedia.org/wiki/Patricia_Elliott,Beverly,,The Shadow Box,https://en.wikipedia.org/wiki/The_Shadow_Box,False
1977,31st tony awards,/wiki/31st_Tony_Awards,Trazana Beverley,https://en.wikipedia.org/wiki/Trazana_Beverley,Lady in Red,,For Colored Girls Who Have Considered Suicide When the Rainbow Is Enuf,https://en.wikipedia.org/wiki/For_Colored_Girls_Who_Have_Considered_Suicide_When_the_Rainbow_Is_Enuf,True
1978,32nd tony awards,/wiki/32nd_Tony_Awards,Swoosie Kurtz,https://en.wikipedia.org/wiki/Swoosie_Kurtz,Mariane,,Tartuffe,https://en.wikipedia.org/wiki/Tartuffe,False
1978,32nd tony awards,/wiki/32nd_Tony_Awards,Starletta DuPois,,Rita,,The Mighty Gents,,False
1978,32nd tony awards,/wiki/32nd_Tony_Awards,Marian Seldes,https://en.wikipedia.org/wiki/Marian_Seldes,Myra Bruhl,,Deathtrap,https://en.wikipedia.org/wiki/Deathtrap_(play),False
1978,32nd tony awards,/wiki/32nd_Tony_Awards,Ann Wedgeworth,https://en.wikipedia.org/wiki/Ann_Wedgeworth,Faye Medwick,,Chapter Two,https://en.wikipedia.org/wiki/Chapter_Two_(play),True
1979,33rd tony awards,/wiki/33rd_Tony_Awards,Joan Hickson,https://en.wikipedia.org/wiki/Joan_Hickson,Delia,,Bedroom Farce,https://en.wikipedia.org/wiki/Bedroom_Farce_(play),True
1979,33rd tony awards,/wiki/33rd_Tony_Awards,Laurie Kennedy,,Violet Robinson,,Man and Superman,https://en.wikipedia.org/wiki/Man_and_Superman,False
1979,33rd tony awards,/wiki/33rd_Tony_Awards,Susan Littler,https://en.wikipedia.org/wiki/Susan_Littler,Kate,,Bedroom Farce,https://en.wikipedia.org/wiki/Bedroom_Farce_(play),False
1979,33rd tony awards,/wiki/33rd_Tony_Awards,Joan Negro,,Amy,,Wings,https://en.wikipedia.org/wiki/Wings_(play),False
1980,34th tony awards,/wiki/34th_Tony_Awards,Dinah Manoff,https://en.wikipedia.org/wiki/Dinah_Manoff,Libby Tucker,,I Ought to be in Pictures,https://en.wikipedia.org/wiki/I_Ought_to_be_in_Pictures,True
1980,34th tony awards,/wiki/34th_Tony_Awards,Maureen Anderman,https://en.wikipedia.org/wiki/Maureen_Anderman,Carol,,The Lady from Dubuque,https://en.wikipedia.org/wiki/The_Lady_from_Dubuque,False
1980,34th tony awards,/wiki/34th_Tony_Awards,Pamela Burrell,,Various Characters,,Strider,,False
1980,34th tony awards,/wiki/34th_Tony_Awards,Lois de Banzie,https://en.wikipedia.org/wiki/Lois_de_Banzie,Myrtle Brown,,Morning's at Seven,https://en.wikipedia.org/wiki/Morning%27s_at_Seven,False
1981,35th tony awards,/wiki/35th_Tony_Awards, Wanamaker,,Tione,,Piaf,https://en.wikipedia.org/wiki/Piaf_(play),False
1981,35th tony awards,/wiki/35th_Tony_Awards,Swoosie Kurtz,https://en.wikipedia.org/wiki/Swoosie_Kurtz,Gwen Landis,,Fifth of July,https://en.wikipedia.org/wiki/Fifth_of_July,True
1981,35th tony awards,/wiki/35th_Tony_Awards,Maureen Stapleton,https://en.wikipedia.org/wiki/Maureen_Stapleton,Birdie Hubbard,,The Little Foxes,https://en.wikipedia.org/wiki/The_Little_Foxes,False
1981,35th tony awards,/wiki/35th_Tony_Awards,Jessica Tandy,https://en.wikipedia.org/wiki/Jessica_Tandy,Rose's mother,,Rose,,False
1982,36th tony awards,/wiki/36th_Tony_Awards,Judith Anderson,https://en.wikipedia.org/wiki/Judith_Anderson,The Nurse,,Medea,https://en.wikipedia.org/wiki/Medea_(play),False
1982,36th tony awards,/wiki/36th_Tony_Awards,Mia Dillon,https://en.wikipedia.org/wiki/Mia_Dillon,Babe MaGrath Botrelle,,Crimes of the Heart,https://en.wikipedia.org/wiki/Crimes_of_the_Heart,False
1982,36th tony awards,/wiki/36th_Tony_Awards,Amanda Plummer,https://en.wikipedia.org/wiki/Amanda_Plummer,Agnes,,Agnes of God,https://en.wikipedia.org/wiki/Agnes_of_God,True
1982,36th tony awards,/wiki/36th_Tony_Awards,Mary Beth Hurt,https://en.wikipedia.org/wiki/Mary_Beth_Hurt,Meg MaGrath,,Crimes of the Heart,,False
