year,season,season_link,winner,actor,musical,character,actor_link,musical_link,character_link
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Maurice Hines,Uptown... It's Hot!,Performer,https://en.wikipedia.org/wiki/Maurice_Hines,https://en.wikipedia.org/wiki/Uptown..._It%27s_Hot!,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,True,Robert Lindsay,Me and My Girl,Bill Snibson,https://en.wikipedia.org/wiki/Robert_Lindsay_(actor),https://en.wikipedia.org/wiki/Me_and_My_Girl,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Roderick Cook,"Oh, Coward!",Performer,https://en.wikipedia.org/wiki/Roderick_Cook,"https://en.wikipedia.org/wiki/Oh,_Coward!",
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Terrence Mann,Les Misérables,Javert,https://en.wikipedia.org/wiki/Terrence_Mann,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical),https://en.wikipedia.org/wiki/Javert
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Colm Wilkinson,Les Misérables,Jean Valjean,https://en.wikipedia.org/wiki/Colm_Wilkinson,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical),https://en.wikipedia.org/wiki/Jean_Valjean
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,Michael Crawford,The Phantom of the Opera,The Phantom of the Opera,https://en.wikipedia.org/wiki/Michael_Crawford,https://en.wikipedia.org/wiki/The_Phantom_of_the_Opera_(1986_musical),https://en.wikipedia.org/wiki/Erik_(The_Phantom_of_the_Opera)
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Scott Bakula,Romance/Romance,Alfred Von Wilmers / Sam,https://en.wikipedia.org/wiki/Scott_Bakula,https://en.wikipedia.org/wiki/Romance/Romance,
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,David Carroll,Chess,Anatoly Sergievsky,https://en.wikipedia.org/wiki/David_Carroll_(actor),https://en.wikipedia.org/wiki/Chess_(musical),
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Howard McGillin,Anything Goes,Billy Crocker,https://en.wikipedia.org/wiki/Howard_McGillin,https://en.wikipedia.org/wiki/Anything_Goes,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Gabriel Barre,Starmites,Trinkulus,https://en.wikipedia.org/wiki/Gabriel_Barre,https://en.wikipedia.org/wiki/Starmites,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Brian Lane Green,Starmites,Spacepunk,https://en.wikipedia.org/wiki/Brian_Lane_Green,https://en.wikipedia.org/wiki/Starmites,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,True,Jason Alexander,Jerome Robbins' Broadway,Various Characters,https://en.wikipedia.org/wiki/Jason_Alexander,https://en.wikipedia.org/wiki/Jerome_Robbins%27_Broadway,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Robert La Fosse,Jerome Robbins' Broadway,Various Characters,https://en.wikipedia.org/wiki/New_York_City_Ballet,,
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Bob Gunton,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd,https://en.wikipedia.org/wiki/Bob_Gunton,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,https://en.wikipedia.org/wiki/Sweeney_Todd
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Gregg Edelman,City of Angels,Stine,https://en.wikipedia.org/wiki/Gregg_Edelman,,
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,David Carroll,Grand Hotel,Felix Von Gaigern,https://en.wikipedia.org/wiki/David_Carroll_(actor),https://en.wikipedia.org/wiki/Grand_Hotel_(musical),
1990,44th Tony Awards,/wiki/44th_Tony_Awards,True,James Naughton,City of Angels,Stone,https://en.wikipedia.org/wiki/James_Naughton,https://en.wikipedia.org/wiki/City_of_Angels_(musical),
1991,45th Tony Awards,/wiki/45th_Tony_Awards,True,Jonathan Pryce,Miss Saigon,The Engineer,https://en.wikipedia.org/wiki/Jonathan_Pryce,https://en.wikipedia.org/wiki/Miss_Saigon,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Keith Carradine,The Will Rogers Follies,Will Rogers,https://en.wikipedia.org/wiki/Keith_Carradine,https://en.wikipedia.org/wiki/The_Will_Rogers_Follies,https://en.wikipedia.org/wiki/Will_Rogers
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Paul Hipp,Buddy – The Buddy Holly Story,Buddy Holly,https://en.wikipedia.org/wiki/Paul_Hipp,https://en.wikipedia.org/wiki/Buddy_%E2%80%93_The_Buddy_Holly_Story,https://en.wikipedia.org/wiki/Buddy_Holly
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Topol,Fiddler on the Roof,Tevye,https://en.wikipedia.org/wiki/Chaim_Topol,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,https://en.wikipedia.org/wiki/Tevye
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,Gregory Hines,Jelly's Last Jam,Jelly Roll Morton,https://en.wikipedia.org/wiki/Gregory_Hines,https://en.wikipedia.org/wiki/Jelly%27s_Last_Jam,https://en.wikipedia.org/wiki/Jelly_Roll_Morton
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Harry Groener,Crazy for You,Bobby Child,https://en.wikipedia.org/wiki/Harry_Groener,https://en.wikipedia.org/wiki/Crazy_for_You_(musical),
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Nathan Lane,Guys and Dolls,Nathan Detroit,https://en.wikipedia.org/wiki/Nathan_Lane,https://en.wikipedia.org/wiki/Guys_and_Dolls,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Michael Rupert,Falsettos,Marvin,https://en.wikipedia.org/wiki/Michael_Rupert,https://en.wikipedia.org/wiki/Falsettos,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Martin Short,The Goodbye Girl,Elliot Garfield,https://en.wikipedia.org/wiki/Martin_Short,https://en.wikipedia.org/wiki/The_Goodbye_Girl_(musical),
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Con O'Neill,Blood Brothers,Mickey,https://en.wikipedia.org/wiki/Con_O%27Neill_(actor),https://en.wikipedia.org/wiki/Blood_Brothers_(musical),
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,Brent Carver,Kiss of the Spider Woman,Luis Molina,https://en.wikipedia.org/wiki/Brent_Carver,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(musical),
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Tim Curry,My Favorite Year,Alan Swann,https://en.wikipedia.org/wiki/Tim_Curry,https://en.wikipedia.org/wiki/My_Favorite_Year_(musical),
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,Boyd Gaines,She Loves Me,Georg Nowack,https://en.wikipedia.org/wiki/Boyd_Gaines,https://en.wikipedia.org/wiki/She_Loves_Me,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Victor Garber,Damn Yankees,Mr. Applegate,https://en.wikipedia.org/wiki/Victor_Garber,https://en.wikipedia.org/wiki/Damn_Yankees,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Terrence Mann,Beauty and the Beast,The Beast,https://en.wikipedia.org/wiki/Terrence_Mann,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(musical),https://en.wikipedia.org/wiki/Beast_(Beauty_and_the_Beast)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Jere Shea,Passion,Giorgio,https://en.wikipedia.org/wiki/Jere_Shea,https://en.wikipedia.org/wiki/Passion_(musical),
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,John McMartin,Show Boat,Cap'n Andy,https://en.wikipedia.org/wiki/John_McMartin,https://en.wikipedia.org/wiki/Show_Boat,
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Mark Jacoby,Show Boat,Gaylord Ravenal,https://en.wikipedia.org/wiki/Mark_Jacoby,https://en.wikipedia.org/wiki/Show_Boat,
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,Matthew Broderick,How to Succeed in Business Without Really Trying,J. Pierrepont Finch,https://en.wikipedia.org/wiki/Matthew_Broderick,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical),
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Alan Campbell,Sunset Boulevard,Joe Gillis,https://en.wikipedia.org/wiki/Alan_Campbell_(actor),https://en.wikipedia.org/wiki/Sunset_Boulevard_(musical),
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,Nathan Lane,A Funny Thing Happened on the Way to the Forum,Pseudolus,https://en.wikipedia.org/wiki/Nathan_Lane,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum,
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Savion Glover,"Bring in 'da Noise, Bring in 'da Funk",'da Beat / Lil' Dahlin',https://en.wikipedia.org/wiki/Savion_Glover,"https://en.wikipedia.org/wiki/Bring_in_%27da_Noise,_Bring_in_%27da_Funk",
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Adam Pascal,Rent,Roger Davis,https://en.wikipedia.org/wiki/Adam_Pascal,https://en.wikipedia.org/wiki/Rent_(musical),
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Lou Diamond Phillips,The King and I,The King of Siam,https://en.wikipedia.org/wiki/Lou_Diamond_Phillips,https://en.wikipedia.org/wiki/The_King_and_I,https://en.wikipedia.org/wiki/Mongkut
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,James Naughton,Chicago,Billy Flynn,https://en.wikipedia.org/wiki/James_Naughton,https://en.wikipedia.org/wiki/Chicago_(musical),https://en.wikipedia.org/wiki/Billy_Flynn_(Chicago)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Robert Cuccioli,Jekyll & Hyde,Dr. Henry Jekyll / Edward Hyde,https://en.wikipedia.org/wiki/Robert_Cuccioli,https://en.wikipedia.org/wiki/Jekyll_%26_Hyde_(musical),https://en.wikipedia.org/wiki/Dr._Jekyll_and_Mr._Hyde_(character)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Jim Dale,Candide,Dr. Pangloss,https://en.wikipedia.org/wiki/Jim_Dale,https://en.wikipedia.org/wiki/Candide_(operetta),
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Daniel McDonald,Steel Pier,Bill Kelly,https://en.wikipedia.org/wiki/Daniel_McDonald_(actor),https://en.wikipedia.org/wiki/Steel_Pier_(musical),
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,Alan Cumming,Cabaret,The Master of Ceremonies,https://en.wikipedia.org/wiki/Alan_Cumming,https://en.wikipedia.org/wiki/Cabaret_(musical),
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Peter Friedman,Ragtime,Tateh,https://en.wikipedia.org/wiki/Peter_Friedman,https://en.wikipedia.org/wiki/Ragtime_(musical),
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Brian Stokes Mitchell,Ragtime,Coalhouse Walker Jr.,https://en.wikipedia.org/wiki/Brian_Stokes_Mitchell,https://en.wikipedia.org/wiki/Ragtime_(musical),
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Douglas Sills,The Scarlet Pimpernel,Percy Blakeney,https://en.wikipedia.org/wiki/Douglas_Sills,https://en.wikipedia.org/wiki/The_Scarlet_Pimpernel_(musical),
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Tom Wopat,Annie Get Your Gun,Frank Butler,https://en.wikipedia.org/wiki/Tom_Wopat,https://en.wikipedia.org/wiki/Annie_Get_Your_Gun_(musical),https://en.wikipedia.org/wiki/Frank_E._Butler
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Adam Cooper,Swan Lake,The Swan,https://en.wikipedia.org/wiki/Adam_Cooper_(dancer),https://en.wikipedia.org/wiki/Swan_Lake_(Bourne),
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Brent Carver,Parade,Leo Frank,https://en.wikipedia.org/wiki/Brent_Carver,https://en.wikipedia.org/wiki/Parade_(musical),https://en.wikipedia.org/wiki/Leo_Frank
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Martin Short,Little Me,Various Characters,https://en.wikipedia.org/wiki/Martin_Short,https://en.wikipedia.org/wiki/Little_Me_(musical),
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,Brian Stokes Mitchell,"Kiss Me, Kate",Fred Graham /Petruchio,https://en.wikipedia.org/wiki/Brian_Stokes_Mitchell,"https://en.wikipedia.org/wiki/Kiss_Me,_Kate",https://en.wikipedia.org/wiki/Petruchio
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Craig Bierko,The Music Man,Harold Hill,https://en.wikipedia.org/wiki/Craig_Bierko,https://en.wikipedia.org/wiki/The_Music_Man,
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,George Hearn,Putting It Together,The Husband,https://en.wikipedia.org/wiki/George_Hearn,https://en.wikipedia.org/wiki/Putting_It_Together,
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Mandy Patinkin,The Wild Party,Burrs,https://en.wikipedia.org/wiki/Mandy_Patinkin,https://en.wikipedia.org/wiki/The_Wild_Party_(LaChiusa_musical),
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Christopher Walken,The Dead,Gabriel Conroy,https://en.wikipedia.org/wiki/Christopher_Walken,https://en.wikipedia.org/wiki/James_Joyce%27s_The_Dead,
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Patrick Wilson,The Full Monty,Jerry Lukowski,https://en.wikipedia.org/wiki/Patrick_Wilson_(American_actor),https://en.wikipedia.org/wiki/The_Full_Monty_(musical),
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Tom Hewitt,The Rocky Horror Show,Dr. Frank N. Furter,https://en.wikipedia.org/wiki/Tom_Hewitt_(actor),https://en.wikipedia.org/wiki/The_Rocky_Horror_Show,
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Kevin Chamberlin,Seussical,Horton the Elephant,https://en.wikipedia.org/wiki/Kevin_Chamberlin,https://en.wikipedia.org/wiki/Seussical,https://en.wikipedia.org/wiki/Horton_the_Elephant
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Matthew Broderick,The Producers,Leo Bloom,https://en.wikipedia.org/wiki/Matthew_Broderick,,https://en.wikipedia.org/wiki/Leo_Bloom
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,Nathan Lane,The Producers,Max Bialystock,https://en.wikipedia.org/wiki/Nathan_Lane,https://en.wikipedia.org/wiki/The_Producers_(musical),https://en.wikipedia.org/wiki/Max_Bialystock
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,John Lithgow,Sweet Smell of Success,J.J. Hunsecker,https://en.wikipedia.org/wiki/John_Lithgow,https://en.wikipedia.org/wiki/Sweet_Smell_of_Success_(musical),
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Gavin Creel,Thoroughly Modern Millie,Jimmy Smith,https://en.wikipedia.org/wiki/Gavin_Creel,https://en.wikipedia.org/wiki/Thoroughly_Modern_Millie_(musical),
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,John McMartin,Into the Woods,Narrator / Mysterious Man,https://en.wikipedia.org/wiki/John_McMartin,https://en.wikipedia.org/wiki/Into_the_Woods,
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Patrick Wilson,Oklahoma!,Curly McLain,https://en.wikipedia.org/wiki/Patrick_Wilson_(American_actor),https://en.wikipedia.org/wiki/Oklahoma!,
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,John Cullum,Urinetown,Caldwell B. Cladwell,https://en.wikipedia.org/wiki/John_Cullum,https://en.wikipedia.org/wiki/Urinetown,
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,John Selya,Movin' Out,Eddie,https://en.wikipedia.org/wiki/John_Selya,https://en.wikipedia.org/wiki/Movin%27_Out_(musical),
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Brian Stokes Mitchell,Man of La Mancha,Don Quixote/Cervantes,https://en.wikipedia.org/wiki/Brian_Stokes_Mitchell,https://en.wikipedia.org/wiki/Man_of_La_Mancha,https://en.wikipedia.org/wiki/Don_Quixote
2003,57th Tony Awards,/wiki/57th_Tony_Awards,True,Harvey Fierstein,Hairspray,Edna Turnblad,https://en.wikipedia.org/wiki/Harvey_Fierstein,https://en.wikipedia.org/wiki/Hairspray_(musical),
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Antonio Banderas,Nine,Guido Contini,https://en.wikipedia.org/wiki/Antonio_Banderas,https://en.wikipedia.org/wiki/Nine_(musical),
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Malcolm Gets,Amour,Dusoleil,https://en.wikipedia.org/wiki/Malcolm_Gets,https://en.wikipedia.org/wiki/Amour_(musical),
2004,58th Tony Awards,/wiki/58th_Tony_Awards,True,Hugh Jackman,The Boy from Oz,Peter Allen,https://en.wikipedia.org/wiki/Hugh_Jackman,https://en.wikipedia.org/wiki/The_Boy_from_Oz,https://en.wikipedia.org/wiki/Peter_Allen_(musician)
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Hunter Foster,Little Shop of Horrors,Seymour,https://en.wikipedia.org/wiki/Hunter_Foster,https://en.wikipedia.org/wiki/Little_Shop_of_Horrors_(musical),
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Alfred Molina,Fiddler on the Roof,Tevye,https://en.wikipedia.org/wiki/Alfred_Molina,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,https://en.wikipedia.org/wiki/Tevye
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Euan Morton,Taboo,George,https://en.wikipedia.org/wiki/Euan_Morton,https://en.wikipedia.org/wiki/Taboo_(musical),https://en.wikipedia.org/wiki/Boy_George
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,John Tartaglia,Avenue Q,Princeton / Rod,https://en.wikipedia.org/wiki/John_Tartaglia,https://en.wikipedia.org/wiki/Avenue_Q,
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Norbert Leo Butz,Dirty Rotten Scoundrels,Freddy Benson,https://en.wikipedia.org/wiki/Norbert_Leo_Butz,https://en.wikipedia.org/wiki/Dirty_Rotten_Scoundrels_(musical),
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Hank Azaria,Spamalot,Various Characters,https://en.wikipedia.org/wiki/Hank_Azaria,https://en.wikipedia.org/wiki/Spamalot,
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Gary Beach,La Cage aux Folles,Albin,https://en.wikipedia.org/wiki/Gary_Beach,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical),
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Tim Curry,Spamalot,King Arthur,https://en.wikipedia.org/wiki/Tim_Curry,,https://en.wikipedia.org/wiki/King_Arthur
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,John Lithgow,Dirty Rotten Scoundrels,Lawrence Jameson,https://en.wikipedia.org/wiki/John_Lithgow,,
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Bob Martin,The Drowsy Chaperone,Man in Chair,https://en.wikipedia.org/wiki/Bob_Martin_(comedian),https://en.wikipedia.org/wiki/The_Drowsy_Chaperone,
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Stephen Lynch,The Wedding Singer,Robbie Hart,https://en.wikipedia.org/wiki/Stephen_Lynch_(musician),https://en.wikipedia.org/wiki/The_Wedding_Singer_(musical),
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Michael Cerveris,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd,https://en.wikipedia.org/wiki/Michael_Cerveris,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,https://en.wikipedia.org/wiki/Sweeney_Todd
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Harry Connick Jr.,The Pajama Game,Sid Sorokin,https://en.wikipedia.org/wiki/Harry_Connick_Jr.,https://en.wikipedia.org/wiki/The_Pajama_Game,
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,John Lloyd Young,Jersey Boys,Frankie Valli,https://en.wikipedia.org/wiki/John_Lloyd_Young,https://en.wikipedia.org/wiki/Jersey_Boys,https://en.wikipedia.org/wiki/Frankie_Valli
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,David Hyde Pierce,Curtains,Lieutenant Frank Cioffi,https://en.wikipedia.org/wiki/David_Hyde_Pierce,https://en.wikipedia.org/wiki/Curtains_(musical),
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Michael Cerveris,LoveMusik,Kurt Weill,https://en.wikipedia.org/wiki/Michael_Cerveris,https://en.wikipedia.org/wiki/LoveMusik,https://en.wikipedia.org/wiki/Kurt_Weill
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Raúl Esparza,Company,Robert,https://en.wikipedia.org/wiki/Ra%C3%BAl_Esparza,https://en.wikipedia.org/wiki/Company_(musical),
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Jonathan Groff,Spring Awakening,Melchior Gabor,https://en.wikipedia.org/wiki/Jonathan_Groff,https://en.wikipedia.org/wiki/Spring_Awakening_(musical),
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Gavin Lee,Mary Poppins,Bert,https://en.wikipedia.org/wiki/Gavin_Lee,https://en.wikipedia.org/wiki/Mary_Poppins_(musical),
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Paulo Szot,South Pacific,Emile de Becque,https://en.wikipedia.org/wiki/Paulo_Szot,https://en.wikipedia.org/wiki/South_Pacific_(musical),
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Daniel Evans,Sunday in the Park with George,Georges Seurat / George,https://en.wikipedia.org/wiki/Daniel_Evans_(actor),https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George,https://en.wikipedia.org/wiki/Georges_Seurat
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Lin-Manuel Miranda,In the Heights,Usnavi,https://en.wikipedia.org/wiki/Lin-Manuel_Miranda,https://en.wikipedia.org/wiki/In_the_Heights,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Stew,Passing Strange,Narrator,https://en.wikipedia.org/wiki/Stew_(musician),https://en.wikipedia.org/wiki/Passing_Strange_(musical),
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Tom Wopat,A Catered Affair,Tom Hurley,https://en.wikipedia.org/wiki/Tom_Wopat,https://en.wikipedia.org/wiki/A_Catered_Affair,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Constantine Maroulis,Rock of Ages,Drew,https://en.wikipedia.org/wiki/Constantine_Maroulis,https://en.wikipedia.org/wiki/Rock_of_Ages_(musical),
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Brian d'Arcy James,Shrek the Musical,Shrek,https://en.wikipedia.org/wiki/Brian_d%27Arcy_James,https://en.wikipedia.org/wiki/Shrek_the_Musical,https://en.wikipedia.org/wiki/Shrek_(character)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,J. Robert Spencer,Next to Normal,Dan Goodman,https://en.wikipedia.org/wiki/J._Robert_Spencer,https://en.wikipedia.org/wiki/Next_to_Normal,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,"David Alvarez,Trent Kowalik&Kiril Kulish",Billy Elliot the Musical,Billy Elliot,https://en.wikipedia.org/wiki/David_Alvarez_(actor),https://en.wikipedia.org/wiki/Billy_Elliot_the_Musical,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Gavin Creel,Hair,Claude,https://en.wikipedia.org/wiki/Gavin_Creel,https://en.wikipedia.org/wiki/Hair_(musical),
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,Douglas Hodge,La Cage aux Folles,Albin,https://en.wikipedia.org/wiki/Douglas_Hodge,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical),
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Kelsey Grammer,La Cage aux Folles,Georges,https://en.wikipedia.org/wiki/Kelsey_Grammer,,
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Sean Hayes,"Promises, Promises",Chuck Baxter,https://en.wikipedia.org/wiki/Sean_Hayes_(actor),"https://en.wikipedia.org/wiki/Promises,_Promises_(musical)",
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Chad Kimball,Memphis,Huey Calhoun,https://en.wikipedia.org/wiki/Chad_Kimball,https://en.wikipedia.org/wiki/Memphis_(musical),
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Sahr Ngaujah,Fela!,Fela Kuti,https://en.wikipedia.org/wiki/Sahr_Ngaujah,https://en.wikipedia.org/wiki/Fela!,https://en.wikipedia.org/wiki/Fela_Kuti
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Tony Sheldon,"Priscilla, Queen of the Desert",Bernadette Bassenger,https://en.wikipedia.org/wiki/Tony_Sheldon,"https://en.wikipedia.org/wiki/Priscilla,_Queen_of_the_Desert_(musical)",
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Andrew Rannells,The Book of Mormon,Elder Price,https://en.wikipedia.org/wiki/Andrew_Rannells,,
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Joshua Henry,The Scottsboro Boys,Haywood Patterson,https://en.wikipedia.org/wiki/Joshua_Henry,https://en.wikipedia.org/wiki/The_Scottsboro_Boys_(musical),
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,Norbert Leo Butz,Catch Me If You Can,Carl Hanratty,https://en.wikipedia.org/wiki/Norbert_Leo_Butz,https://en.wikipedia.org/wiki/Catch_Me_If_You_Can_(musical),
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Josh Gad,The Book of Mormon,Elder Cunningham,https://en.wikipedia.org/wiki/Josh_Gad,https://en.wikipedia.org/wiki/The_Book_of_Mormon_(musical),
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Steve Kazee,Once,Guy,https://en.wikipedia.org/wiki/Steve_Kazee,https://en.wikipedia.org/wiki/Once_(musical),
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Danny Burstein,Follies,Buddy Plummer,https://en.wikipedia.org/wiki/Danny_Burstein,https://en.wikipedia.org/wiki/Follies,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Jeremy Jordan,Newsies,Jack Kelly,"https://en.wikipedia.org/wiki/Jeremy_Jordan_(actor,_born_1984)",https://en.wikipedia.org/wiki/Newsies_(musical),
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Norm Lewis,Porgy and Bess,Porgy,https://en.wikipedia.org/wiki/Norm_Lewis,https://en.wikipedia.org/wiki/Porgy_and_Bess,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Ron Raines,Follies,Ben Stone,https://en.wikipedia.org/wiki/Ron_Raines,,
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Rob McClure,Chaplin,Charlie Chaplin,https://en.wikipedia.org/wiki/Rob_McClure,https://en.wikipedia.org/wiki/Chaplin_(2006_musical),https://en.wikipedia.org/wiki/Charlie_Chaplin
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Stark Sands,Kinky Boots,Charlie Price,https://en.wikipedia.org/wiki/Stark_Sands,,
